VERSION;REFERENCE_DATE;STRUCTURE_DATE;MARKET_PARAMETER_SET;TRADING_SYSTEM;SOURCE;ASSET_CLASS;RISK_FACTOR;MARKET_PARAMETER_TYPE;MARKET_PARAMETER_SUBTYPE;MARKET_PARAMETER_CLASSIFICATION;UNDERLYING;UNDERLYING_BREAKDOWN;CURRENCY;CURRENCY_BREAKDOWN;START_DATE;MATURITY_LABEL;MATURITY_DATE;STRIKE;MARKET_PARAMETER_MULT_1;MARKET_PARAMETER_MULT_2;CONVERSION_FACTOR;TIME_FACTOR;MARKET_PARAMETER_VALUE;PARAMSET_NAME1;PARAMSET_VALUE1;PARAMSET_NAME2;PARAMSET_VALUE2;PARAMSET_NAME3;PARAMSET_VALUE3;PARAMSET_NAME4;PARAMSET_VALUE4;PARAMSET_NAME5;PARAMSET_VALUE5;PARAMSET_NAME6;PARAMSET_VALUE6;PARAMSET_NAME7;PARAMSET_VALUE7;PARAMSET_NAME8;PARAMSET_VALUE8;LINEAR_BREAKDOWN_NAME1;LINEAR_BREAKDOWN_VALUE1;LINEAR_BREAKDOWN_NAME2;LINEAR_BREAKDOWN_VALUE2;LINEAR_BREAKDOWN_NAME3;LINEAR_BREAKDOWN_VALUE3;LINEAR_BREAKDOWN_NAME4;LINEAR_BREAKDOWN_VALUE4;LINEAR_BREAKDOWN_NAME5;LINEAR_BREAKDOWN_VALUE5;LINEAR_BREAKDOWN_NAME6;LINEAR_BREAKDOWN_VALUE6;LINEAR_BREAKDOWN_NAME7;LINEAR_BREAKDOWN_VALUE7;LINEAR_BREAKDOWN_NAME8;LINEAR_BREAKDOWN_VALUE8;PORTFOLIO;TRANSACTION_TYPE;TYPOLOGY;INSTRUMENT;TRADE_ID;MODEL;INSTRUMENT_MATURITY_DATE;UNDERLYING_MATURITY_DATE;POSITION_STRIKE
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;DRW3;;EUR;;;n.a.;01/01/1900;;1;1;;;74.30000000;Mkt;Xetra T7;1ryMkt;Xetra T7;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;DE0005550636;CFICode;ESXXXX;Ric;2504952;FutUnd;DRW3;RefBid;74.20000000;RefAsk;74.40000000;RefMid;74.30000000;ClsBid;75.50000000;ClsAsk;75.50000000;ClsMid;75.50000000;Lsize;1.00000000;MIC;XETR;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;DSV;;DKK;;;n.a.;01/01/1900;;1;1;;;965.00000000;Mkt;Virtu;1ryMkt;Reuters Elektron;IsMkt1ry;N;EvMod;Mark to Market;SecCode;DK0060079531;CFICode;ESXXXX;Ric;DKK:CO:4:DK0060079531;FutUnd;DSV;RefBid;;RefAsk;;RefMid;965.00000000;ClsBid;965.00000000;ClsAsk;965.00000000;ClsMid;965.00000000;Lsize;1.00000000;MIC;XCSE;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;DSV;;DKK;;;n.a.;01/01/1900;;1;1;;;965.00000000;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;DK0060079531;CFICode;ESXXXX;Ric;DSV.CO;FutUnd;DSV;RefBid;;RefAsk;;RefMid;965.00000000;ClsBid;965.00000000;ClsAsk;965.00000000;ClsMid;965.00000000;Lsize;1.00000000;MIC;XCSE;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;DTE ENERGY;;USD;;;n.a.;01/01/1900;;1;1;;;117.35000000;Mkt;Virtu;1ryMkt;Reuters Elektron;IsMkt1ry;N;EvMod;Mark to Market;SecCode;US2333311072;CFICode;ESXXXX;Ric;USD:N:4:US2333311072;FutUnd;DTE ENERGY;RefBid;117.22000000;RefAsk;117.48000000;RefMid;117.35000000;ClsBid;117.02000000;ClsAsk;117.02000000;ClsMid;117.02000000;Lsize;1.00000000;MIC;XNYS;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;DTE ENERGY;;USD;;;n.a.;01/01/1900;;1;1;;;117.35000000;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;US2333311072;CFICode;ESXXXX;Ric;DTE.N;FutUnd;DTE ENERGY;RefBid;117.22000000;RefAsk;117.48000000;RefMid;117.35000000;ClsBid;117.02000000;ClsAsk;117.02000000;ClsMid;117.02000000;Lsize;1.00000000;MIC;XNYS;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;DUFRY AG;;CHF;;;n.a.;01/01/1900;;1;1;;;27.50500000;Mkt;Virtu;1ryMkt;Reuters Elektron;IsMkt1ry;N;EvMod;Mark to Market;SecCode;CH0023405456;CFICode;ESXXXX;Ric;CHF:S:4:CH0023405456;FutUnd;DUFRY AG;RefBid;27.49000000;RefAsk;27.52000000;RefMid;27.50500000;ClsBid;27.48000000;ClsAsk;27.48000000;ClsMid;27.48000000;Lsize;1.00000000;MIC;XSWX;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;DUFRY AG;;CHF;;;n.a.;01/01/1900;;1;1;;;27.50500000;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;CH0023405456;CFICode;ESXXXX;Ric;DUFN.S;FutUnd;DUFRY AG;RefBid;27.49000000;RefAsk;27.52000000;RefMid;27.50500000;ClsBid;27.48000000;ClsAsk;27.48000000;ClsMid;27.48000000;Lsize;1.00000000;MIC;XSWX;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;DUKE ENERGY;;USD;;;n.a.;01/01/1900;;1;1;;;79.39500000;Mkt;Virtu;1ryMkt;Reuters Elektron;IsMkt1ry;N;EvMod;Mark to Market;SecCode;US26441C2044;CFICode;ESXXXX;Ric;USD:N:4:US26441C2044;FutUnd;DUKE ENERGY;RefBid;79.37000000;RefAsk;79.42000000;RefMid;79.39500000;ClsBid;79.55000000;ClsAsk;79.55000000;ClsMid;79.55000000;Lsize;1.00000000;MIC;XNYS;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;DUKE ENERGY;;USD;;;n.a.;01/01/1900;;1;1;;;79.39500000;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;US26441C2044;CFICode;ESXXXX;Ric;DUK.N;FutUnd;DUKE ENERGY;RefBid;79.37000000;RefAsk;79.42000000;RefMid;79.39500000;ClsBid;79.55000000;ClsAsk;79.55000000;ClsMid;79.55000000;Lsize;1.00000000;MIC;XNYS;;;;;;;;;
1.0;28/08/2020;28/08/2020;Ref;TBRX;SSL;Eq;EvPrc;Prc;Equities-Equities-Common/Ordinary shares;;DUNKIN BRD GRP;;USD;;;n.a.;01/01/1900;;1;1;;;76.72500000;Mkt;Reuters Elektron;1ryMkt;Reuters Elektron;IsMkt1ry;Y;EvMod;Mark to Market;SecCode;US2655041000;CFICode;ESXXXX;Ric;DNKN.O;FutUnd;DUNKIN BRD GRP;RefBid;76.70000000;RefAsk;76.75000000;RefMid;76.72500000;ClsBid;75.35000000;ClsAsk;75.35000000;ClsMid;75.35000000;Lsize;1.00000000;MIC;XNAS;;;;;;;;;
