YTM	VEGA	DELTA_EXCHANGE_NPV	POSITIONID	STRIKE_REF_SPOT	DELTA_FACTOR	GAMMA	RHO_FACTOR	DELTA	RHO	BPV	REF_DATE	PVBP	GAMMA_FACTOR	SSL_SNAPSHOT_DATE	ANALYTICDATE	THETA	SSL_FEID	VEGA_FACTOR	DELTA_EXCHANGE_LIAB	RISK_NATURE	DELTA_EXCHANGE_CASH	CURRENCY	STEP_LABEL	POSITIONID_FE	STRIKE_REF_VALUE	STRIKE_UNDERLYING	F_DELTA_EXCHANGE	STRIKE_INSTR_VALUE	VOLATILITY	THETA_FACTOR	SSL_COUNTER	RHO1
	-10935.1672018178		AA | EUR | Equities | Options | Put | OPT_SD3E NOV21 P90 - 3605 | 23 NOV 21 | P | E | 1743.9660000000 | XXXX | Internal_372ff4ba-b093-11ea-bdb0-f7127f36688c_TBRX			-31.3772922055		426876.1264185787	664643.9193544077		20200831			30200831.0000000000	20200831	34463.4383330301	TBRX					EUR	 	AA | EUR | Equities | Options | Put | OPT_SD3E NOV21 P90 - 3605 | 23 NOV 21 | P | E | 1743.9660000000 | XXXX | Internal							1.0000000000	-6723.0498782800
			AA | EUR | Equities | Futures | Financial Futures | FDAX 202009 | SEP 20 | XEUR | Eurex NTA_4997833e-254c-11ea-af50-2dba816f6810_TBRX			0.0000000000		-35784.5469605157	-1961.3343965431		20200831			30200831.0000000000	20200831	0.0000000000	TBRX					EUR	 	AA | EUR | Equities | Futures | Financial Futures | FDAX 202009 | SEP 20 | XEUR | Eurex NTA							1.0000000000	19.6079172166
	-1563.5556836862		AA | EUR | Equities | Options | Call | OPT_SD3E NOV21 CATM - 3605 | 23 NOV 21 | C | E | 1937.7400000000 | XXXX | Internal_4c5995da-b093-11ea-bdb0-f7127f36688c_TBRX			-5.8718124847		-4267.5979366808	-5597.4772527110		20200831			30200831.0000000000	20200831	-77.0644348696	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OPT_SD3E NOV21 CATM - 3605 | 23 NOV 21 | C | E | 1937.7400000000 | XXXX | Internal							1.0000000000	49.5323989792
	1563.5556836862		AA | EUR | Equities | Options | Put | OPT_SD3E NOV21 PATM - 3605 | 23 NOV 21 | P | E | 1937.7400000000 | XXXX | Internal_603705e2-b093-11ea-bdb0-f7127f36688c_TBRX			5.8718124847		-460638.1124324631	-783105.6421488201		20200831			30200831.0000000000	20200831	-35634.5484484499	TBRX					EUR	 	AA | EUR | Equities | Options | Put | OPT_SD3E NOV21 PATM - 3605 | 23 NOV 21 | P | E | 1937.7400000000 | XXXX | Internal							1.0000000000	7886.8325812734
	699.5349460480		AA | EUR | Equities | Options | Put | SD3E X1900 DEC21 - STRUCT | 17 DEC 21 | P | E | 1900.0000000000 | XXXX | OTC Derivatives_b37bfd38-7710-11e9-9400-98972329be46_TBRX			2.3385364296		-106007.9378010174	-185247.2668206326		20200831			30200831.0000000000	20200831	-8245.5179207216	TBRX					EUR	 	AA | EUR | Equities | Options | Put | SD3E X1900 DEC21 - STRUCT | 17 DEC 21 | P | E | 1900.0000000000 | XXXX | OTC Derivatives							1.0000000000	1867.5235677813
	1888.6347033759		AA | EUR | Equities | Options | Call | OTC SD3E C2100 DEC22 - JPM | 16 DEC 22 | C | E | 2100.0000000000 | XXXX | OTC Derivatives_b9a2699a-7710-11e9-9400-98972329be46_TBRX			3.4024909614		3915.2977178480	9232.1230453722		20200831			30200831.0000000000	20200831	139.7830402958	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OTC SD3E C2100 DEC22 - JPM | 16 DEC 22 | C | E | 2100.0000000000 | XXXX | OTC Derivatives							1.0000000000	-80.3032393729
	-3674.5760764477		AA | EUR | Equities | Options | Put | OPT_SD3E JAN22 P90 - 3651 | 26 JAN 22 | P | E | 1620.8550000000 | XXXX | Internal_bb641002-9e9d-11ea-a0a0-6b77645bee53_TBRX			-7.4603105791		52664.3820629693	90081.7075702709		20200831			30200831.0000000000	20200831	4546.1393018938	TBRX					EUR	 	AA | EUR | Equities | Options | Put | OPT_SD3E JAN22 P90 - 3651 | 26 JAN 22 | P | E | 1620.8550000000 | XXXX | Internal							1.0000000000	-917.8603545288
	-4993.9297452075		AA | EUR | Equities | Options | Call | OPT_DDAXK MAY22 CATM - 3769 | 26 MAY 22 | C | E | 145.8900000000 | XXXX | Internal_bb7e0796-9e9d-11ea-a0a0-6b77645bee53_TBRX			-459.2081729795		-22624.6302693490	-32037.1365911245		20200831			30200831.0000000000	20200831	377.8537483690	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OPT_DDAXK MAY22 CATM - 3769 | 26 MAY 22 | C | E | 145.8900000000 | XXXX | Internal							1.0000000000	312.7198326766
	7457.0344345274		AA | EUR | Equities | Options | Call | OPT_DDAXK MAY23 CCAP - 4144 | 29 MAY 23 | C | E | 242.1252000000 | XXXX | Internal_bbc728c2-9e9d-11ea-a0a0-6b77645bee53_TBRX			831.9710843291		12089.0177084803	33043.0177850789		20200831			30200831.0000000000	20200831	-435.4856850164	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OPT_DDAXK MAY23 CCAP - 4144 | 29 MAY 23 | C | E | 242.1252000000 | XXXX | Internal							1.0000000000	-286.6015716104
	-24960.0077866058		AA | EUR | Equities | Options | Call | OPT_SD3E OCT24 CATM - 4294 | 29 OCT 24 | C | E | 2177.0900000000 | XXXX | Internal_bbd271aa-9e9d-11ea-a0a0-6b77645bee53_TBRX			-22.6423098214		-43315.1683479823	-171068.1813248017		20200831			30200831.0000000000	20200831	-2118.9583251311	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OPT_SD3E OCT24 CATM - 4294 | 29 OCT 24 | C | E | 2177.0900000000 | XXXX | Internal							1.0000000000	1480.7466691739
	-13330.3843055627		AA | EUR | Equities | Options | Call | OPT_SD3E JAN25 CATM - 4412 | 29 JAN 25 | C | E | 2148.6800000000 | XXXX | Internal_bbe03c40-9e9d-11ea-a0a0-6b77645bee53_TBRX			-11.2663600649		-23301.4095693896	-95932.9404629457		20200831			30200831.0000000000	20200831	-1178.1656332127	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OPT_SD3E JAN25 CATM - 4412 | 29 JAN 25 | C | E | 2148.6800000000 | XXXX | Internal							1.0000000000	833.6912671115
	1457.2704508928		AA | EUR | Equities | Options | Call | OPT_SD3E JAN25 C143 - 4412 | 29 JAN 25 | C | E | 3072.6124000000 | XXXX | Internal_bbe207fa-9e9d-11ea-a0a0-6b77645bee53_TBRX			1.2322191216		1732.2739808175	7917.5123634876		20200831			30200831.0000000000	20200831	66.8824149481	TBRX					EUR	 	AA | EUR | Equities | Options | Call | OPT_SD3E JAN25 C143 - 4412 | 29 JAN 25 | C | E | 3072.6124000000 | XXXX | Internal							1.0000000000	-64.0177100089
