Bof_20200828
CURRENCY	CURVE_PILLAR	CURVE_PILLAR_MAT	CURVE_PILLAR_SPLIT	CURVE_PILLAR_START	CURVE_PILLAR_START_LABEL	CURVE_PILLAR_STRIKE	MARKET_RATE	OPTION_STRIKE	POSITIONID	REF_DATE	REFMARKET	RISK_NATURE	SENSITIVITYDATE	UNDERLYING	UNDERLYING_MKT	VEGA	VOLATILITY_CATEGORY	VOLATILITY_GROUP	VOLATILITY_TYPE	VOLATILITY_GROUP_TYPE	VOLATILITY_GROUP_ID	TBRICKS_INSTRUMENT_ID	MIC_JOIN_MKT_ATTR
EUR								1500	EQ-INDEXVOL2 | EUR | Equities | Options | Put | OESX 202012 P 1500 | 18 DEC 20 | P | E | 1500.0000000000 | XEUR | Eurex NTA	2020-08-28	XEUR	Total	2020-08-28			0		DJES50_DJES50 risk fixed expiry			cf4df320-39d7-11e9-a900-eb52c95dd479	f3821530-1f30-11e9-a2d0-b3645e528b7a	XEUR
EUR								0	VOL_STCK_AA_PR | EUR | Equities | Miscellaneous | Combined Instruments | EP3 SD3E NOV24 BDT | ETLX | EuroTLX Equities	2020-08-28	ETLX	GrandTotal	2020-08-28			-110247.40527389132						341c9e42-1f2e-11e9-a2d0-b3645e528b7a	ETLX
EUR								952.75	VOL_STCK_AA_PR | EUR | Equities | Options | Call | OPT_CERT SD3E NOV25 BDT CALL50 4Y - 4791 | 24 NOV 22 | C | E | 952.7500000000 | XXXX | Internal	2020-08-28	XXXX	Total	2020-08-28			10897.958753845756		0_EUR_SELDIV_0_EUR_SELDIV risk fixed expiry			eb0581d0-3b41-11e9-93b0-dcd608f6e958	bc1a660e-9e9d-11ea-a0a0-6b77645bee53	XXXX
EUR								0	VOL_STCK_AA_PR | EUR | Equities | Miscellaneous | Combined Instruments | EP3 SD3E MAR25 BDT | ETLX | EuroTLX Equities	2020-08-28	ETLX	GrandTotal	2020-08-28			-65876.69684579888						341ea1c4-1f2e-11e9-a2d0-b3645e528b7a	ETLX
EUR								1825.71	VOL_STCK_AA_PR | EUR | Equities | Options | Call | OPT_SD3E MAR22 CATM - 3707 | 29 MAR 22 | C | E | 1825.7100000000 | XXXX | Internal	2020-08-28	XXXX	Total	2020-08-28			24251.249638928086		0_EUR_SELDIV_0_EUR_SELDIV risk fixed expiry			eb0581d0-3b41-11e9-93b0-dcd608f6e958	bb7256e4-9e9d-11ea-a0a0-6b77645bee53	XXXX
EUR									MTAINT | EUR | Equities | Equities | Common/Ordinary shares | DAIMLER | XETR | Xetra T7	2020-08-28	XETR	GrandTotal	2020-08-28			0						efa14748-1f2a-11e9-a2d0-b3645e528b7a	XETR
EUR									MTAINT | EUR | Equities | Equities | Common/Ordinary shares | DANONE | MTAH | BIT MTA	2020-08-28	MTAH	GrandTotal	2020-08-28			0						ef9c3190-1f2a-11e9-a2d0-b3645e528b7a	MTAH
EUR								21.065	EQSSVOLOTC | EUR | Equities | Options | Call | BNP FEB26 CALL 21.065 OTC - EPSILON | 11 FEB 26 | C | E | 21.0650000000 | None | OTC Derivatives	2020-08-28	None	Total	2020-08-28			-795.7197980612539		1_BNPP_1_BNPP risk fixed expiry			fb69838a-3b66-11e9-93b0-dcd608f6e958	c10ac3f8-7710-11e9-9400-98972329be46	None
EUR								2.63	EQSSVOLOTC | EUR | Equities | Options | Call | ENEL FEB23 CALL 2.63 OTC - EPSILON | 13 FEB 23 | C | E | 2.6300000000 | None | OTC Derivatives	2020-08-28	None	Total	2020-08-28			-199.8685121488522		ENEL_ENEL risk fixed expiry			e46ebb7c-39d7-11e9-a900-eb52c95dd479	c11d86e6-7710-11e9-9400-98972329be46	None
EUR								24000	EQ-INDEXVOL2 | EUR | Equities | Options | Call | MIBO0L24000 | 18 DEC 20 | C | E | 24000.0000000000 | XDMI | Borsa Italiana IDEM	2020-08-28	XDMI	Total	2020-08-28			192.37930845337402		FTMIB_FTMIB risk fixed expiry			d9df2e30-39d7-11e9-a900-eb52c95dd479	4c082cb8-1f30-11e9-a2d0-b3645e528b7a	XDMI
