BARRIER_SPREAD_DOWN	EXPIRY	MARKET_COUNTRY	SECURITY_DEATH	COMMENT_VALUE	QUOTATION	F_BARRIER_STYLE	DIGITAL_DES	SSL_SNAPSHOT_DATE	FIXING_TYPE	SSL_FEID	STARTDATE	F_QUANTO	STRIKE_MODE	EXPIRY_MATERIAL_ID	F_CASH_DELIVERY	UNDERLYINGID_FE	CLASSID	F_QPERCENTAGE	F_ADDFLOWS	BARRIER_REBATE	F_STARTMODE	LOTSIZE	FORWARD_START_DATE	PAYOUT	MARKET	DIGITAL_PAYOUT_CUR	UNDERLYINGID	BARRIER_WINDOW_START_DATE	TRADE_DATE	REF_DATE	F_DIGITAL_STANDARD	LAST_TRADING_DATE	CAP_VALUE	DISC_FACTOR	CURRENCY	QUANTITY	UNIT	MARGIN	QUANTO_FACTOR_TYPE	DELIVERY_DATE	MKT_TRDCLAUSE	F_MARGIN_CALL	F_CALL_PUT	BARRIER_REBATE_QUOTATION	QUANTITY_DIVISOR	EXPIRY_SHIFT	EXERCISE_STYLE	MULTIPLE	FLEX_FORMULA	AUTO_ROLL	QUANTO_CONVERSION_RATE	DESCRIPTION	FOREX_FACTOR	EXPIRY_LABEL	CONVERSION_TYPE_MULTICURRENCY	OTYPE	FLOOR_VALUE	PREMIUM_MODE	PAYOFF_RULE_DES	EXPIRY_ID	FLEX_TYPE	BARRIER_REBATE_TYPE	F_FLEX	CONTRACT	STRIKE	F_AMORTIZED	FIID	DIGITAL_PAYOUT	BARRIER_PERIOD	FLEX_BLOCK	AMERICAN_EUROPEAN	QUANTITY_CURRENCY	EXPIRY_STRUCT_WRNT	BARRIER_EXERCISE_STYLE	BARRIER	RIC0	RIC2	RIC1	RIC3	F_ISEXOTIC	PARITY	PAYOFF_RULE	SHIFTER	F_COMPO	EXPIRY_SET_ID	MKT_SETTLRULE	EXPIRY_SET_DESCRIPTION	BARRIER_NATURE	BARRIER_SPREAD_UP	INSTRUMENTID_FE	BARRIER_VALUE2	CAP	F_REBATE_PAYMENT	COMMENT1	COMMENT0	BARRIER_VALUE	BARRIER_WINDOW_END_DATE	EXPIRY_SET	F_CUTOFF	F_COMMODITY_WARRANT	STRIKE_KIND	FORWARD_START_STYLE	QUOTATION_ENDDATE	QUOTATION_STARTDATE	TRADING_SYMBOL	EXPIRY_RULE	MATURITY_COUNT	STARDATE_RULE	MATURITY	CLEARING_CENTER_NAME	FLEX_TYPE_DES	EXPIRY_DYN	FORM_FACTOR	UNDERLYING_EXPIRYLABEL	QUANTO_CURR	FORWARD_START_END_DATE	IS_FORWARD_START	F_CASH_DELIVERY_DETT	KNOCKSTATUS	CALL_DATE	DAYSTD	DAYSTM	F_CAPGAR	F_CERTIFICATE	F_CPPI	F_MULTIPAYMENT	F_NOMINALMODE	PERC_CAPGAR	PREMIUM_DATE	F_AUTOCALL	COMPLIANCE	FV_LEVEL
	20200918							30200831		TBRX					C	FIB0I | SEP 20						0.0001000000					L_S_87f776a4-ddc9-11e9-9eb0-e7766f5ef7bc_FIB0I | SEP 20_TBRX			20200831					EUR								P				E					BI CW PUT FTSE MIB 20500 E 180920		SEP 20											20500.0000000000		L_S_4079bda0-1659-11ea-b3f0-689a4e2fd020_I05861_TBRX				E																			I05861												0															N															
	20201218							30200831		TBRX					C	FESX 202009 | SEP 20						10.0000000000					L_S_f67d7c3e-1f30-11e9-a2d0-b3645e528b7a_FESX 202009 | SEP 20_TBRX			20200831					EUR								C				E					OESX 202012 C 3700		DEC 20											3700.0000000000		O_f380fcea-1f30-11e9-a2d0-b3645e528b7a_OESX 202012 C 3700 | 18 DEC 20 | C | E | 3700.0000000000_TBRX				E																			OESX 202012 C 3700 | 18 DEC 20 | C | E | 3700.0000000000												0															N															
	20201218							30200831		TBRX					C	G						1.0000000000					L_S_ef9f4880-1f2a-11e9-a2d0-b3645e528b7a_G_TBRX			20200831					EUR								P				E							DEC 20											9.5000000000		O_02e40dd0-a66c-11ea-bfc0-6c4e5cd63a78_G X9.50 - OTC FERAK | 18 DEC 20 | P | E | 9.5000000000_TBRX				E																			G X9.50 - OTC FERAK | 18 DEC 20 | P | E | 9.5000000000												0															N															
	20231113							30200831		TBRX					C	FESX 202009 | SEP 20						1.0000000000					L_S_f67d7c3e-1f30-11e9-a2d0-b3645e528b7a_FESX 202009 | SEP 20_TBRX			20200831					EUR								P				E							NOV 23											3385.7800000000		O_bf0b5d38-7710-11e9-9400-98972329be46_SX5E NOV23 PATM CREDEM | 13 NOV 23 | P | E | 3385.7800000000_TBRX				E																			SX5E NOV23 PATM CREDEM | 13 NOV 23 | P | E | 3385.7800000000												0															N															
	20201207							30200831		TBRX					C	RACE						0.1000000000					L_S_ef9cb782-1f2a-11e9-a2d0-b3645e528b7a_RACE_TBRX			20200831					EUR								C				E					BI CW CALL FERRARI 170 E 071220		DEC 20											170.0000000000		L_S_b39abc78-90e6-11ea-b430-b3e2b66d25c3_I06447_TBRX				E																			I06447												0															N															
	20201218							30200831		TBRX					P	PIRC						500.0000000000					L_S_ef9c4950-1f2a-11e9-a2d0-b3645e528b7a_PIRC_TBRX			20200831					EUR								P				A					PIRC0X4.20		DEC 20											4.2000000000		O_0070ac78-2554-11ea-af50-2dba816f6810_PIRC0X4.20 | 18 DEC 20 | P | A | 4.2000000000_TBRX				A																			PIRC0X4.20 | 18 DEC 20 | P | A | 4.2000000000												0															N															
	20241220							30200831		TBRX					C	FESX 202009 | SEP 20						10.0000000000					L_S_f67d7c3e-1f30-11e9-a2d0-b3645e528b7a_FESX 202009 | SEP 20_TBRX			20200831					EUR								C				E					OESX 202412 C 6000		DEC 24											6000.0000000000		O_f9776fe4-1f30-11e9-a2d0-b3645e528b7a_OESX 202412 C 6000 | 20 DEC 24 | C | E | 6000.0000000000_TBRX				E																			OESX 202412 C 6000 | 20 DEC 24 | C | E | 6000.0000000000												0															N															
	20210607							30200831		TBRX					C	BPE						0.1000000000					L_S_efa3b1d6-1f2a-11e9-a2d0-b3645e528b7a_BPE_TBRX			20200831					EUR								C				E					BI CW CALL BPER BANCA 5,5 E 070621		JUN 21											5.5000000000		L_S_d3dc069a-5211-11ea-8640-38c7f938b954_I06126_TBRX				E																			I06126												0															N															
	20220810							30200831		TBRX					C	ENI						1.0000000000					L_S_ef9c1fd4-1f2a-11e9-a2d0-b3645e528b7a_ENI_TBRX			20200831					EUR								P				E							AUG 22											16.1000000000		O_733ecee7-62b4-11e9-b160-4ad6f9df0bf5_EPC ENI AUG22 PUT100 | 10 AUG 22 | P | E | 16.1000000000_TBRX				E																			EPC ENI AUG22 PUT100 | 10 AUG 22 | P | E | 16.1000000000												0															N															
	20240729							30200831		TBRX					C	ESTX SD 30 PR						1.0000000000					L_S_7d175f42-5151-11e9-b8d0-ec23cf8de3db_ESTX SD 30 PR_TBRX			20200831					EUR								C				E							JUL 24											2057.9700000000		O_732cdc55-62b4-11e9-b160-4ad6f9df0bf5_SD3E JUL24 CATM | 29 JUL 24 | C | E | 2057.9700000000_TBRX				E																			SD3E JUL24 CATM | 29 JUL 24 | C | E | 2057.9700000000												0															N															
