INSTRUMENTID_FE	REF_DATE	MARKET	RIC0	SYMBOL	SEDOL	MKT_SETTL_CONV	EXCHANGE_MARKET_CODE	FINAL_SETTLEMENT_DAYS	FIID	SSL_FEID	SSL_SNAPSHOT_DATE	MARKET_NAME	F_IS_PRIMARY
I06476	20200831	SEDX	864511	I06476		2		2	L_S_b3d212f4-90e6-11ea-b430-b3e2b66d25c3_I06476_TBRX	TBRX	30200831	BIT SEDEX	Y
OESX 202112 C 5000 | 17 DEC 21 | C | E | 5000.0000000000	20200831	XEUR	27757	OESX		2		2	O_f3838e10-1f30-11e9-a2d0-b3645e528b7a_OESX 202112 C 5000 | 17 DEC 21 | C | E | 5000.0000000000_TBRX	TBRX	30200831	Eurex NTA	Y
I06186	20200831	SEDX	857691	I06186		2		2	L_S_d3a9f1c8-5211-11ea-8640-38c7f938b954_I06186_TBRX	TBRX	30200831	BIT SEDEX	Y
SX5E FEB22 CCAP PKB | 14 FEB 22 | C | E | 4325.2192000000	20200831	XXXX	17468019			2		5	O_7f337882-62b4-11e9-b160-4ad6f9df0bf5_SX5E FEB22 CCAP PKB | 14 FEB 22 | C | E | 4325.2192000000_TBRX	TBRX	30200831	Internal	Y
PKX	20200831	XNYS	USD:N:4:US6934831099	PKX		2		2	L_S_24ba5dd4-322a-11ea-cbd3-f569ed533d96_PKX_TBRX	TBRX	30200831	Virtu	N
OPUS BANK	20200831	XNAS	USD:O:4:US6840001027	OPB		2		2	L_S_fbfd2afb-41da-11ea-79f4-715c8bd7d1b8_OPUS BANK_TBRX	TBRX	30200831	Virtu	N
Redfin	20200831	XNAS	USD:O:4:US75737F1084	RDFN		2		2	L_S_f5dd7291-1b6c-11ea-2954-839c95c768b4_Redfin_TBRX	TBRX	30200831	Virtu	N
EM	20200831	MTAA	369	EM	B28GZM0	2		2	L_S_efa2faac-1f2a-11e9-a2d0-b3645e528b7a_EM_TBRX	TBRX	30200831	BIT MTA	Y
OPT_EPC SD3E NOV26 CNP 2Y CAP - 5332 | 22 NOV 21 | C | E | 41.4452900000	20200831	XXXX	30678886	5332		2		2	O_bc8fcbf6-9e9d-11ea-a0a0-6b77645bee53_OPT_EPC SD3E NOV26 CNP 2Y CAP - 5332 | 22 NOV 21 | C | E | 41.4452900000_TBRX	TBRX	30200831	Internal	Y
GETINGE AB	20200831	XSTO	GETIb.ST	GETIb		2		2	L_S_5a6c7126-1f2e-11e9-a2d0-b3645e528b7a_GETINGE AB_TBRX	TBRX	30200831	Reuters Elektron	Y
OPT_SD3E NOV24 CATM - 4323 | 27 NOV 24 | C | E | 2146.9100000000	20200831	XXXX	30678759	4323		2		2	O_bbd5c4cc-9e9d-11ea-a0a0-6b77645bee53_OPT_SD3E NOV24 CATM - 4323 | 27 NOV 24 | C | E | 2146.9100000000_TBRX	TBRX	30200831	Internal	Y
SD3E JAN25 PATM | 29 JAN 25 | P | E | 2148.6800000000	20200831	XXXX	24334438			2		2	O_79ddb1cc-62b4-11e9-b160-4ad6f9df0bf5_SD3E JAN25 PATM | 29 JAN 25 | P | E | 2148.6800000000_TBRX	TBRX	30200831	Internal	Y
SMCP	20200831	XPAR	1348182	SMCP	BF54C16	2		2	L_S_6e4ca100-1f2b-11e9-a2d0-b3645e528b7a_SMCP_TBRX	TBRX	30200831	Euronext Optiq	Y
