Bof_20200828
POSITIONID_FE	SETTLEMENTDATE	QUANTITY	AVERAGE_PRICE	REF_DATE	TBRICKS_INSTRUMENT_ID
EQ-INDEXVOL2 | EUR | Equities | Options | Put | OPT_SX6E MAR23 P PROT - 4061 | 29 MAR 23 | P | E | 247.1995000000 | XXXX | Internal	2020-08-31	11.52915	15.3725733254	2020-08-28	bbc4404e-9e9d-11ea-a0a0-6b77645bee53
VOL_STCK_AA_PR | EUR | Equities | Miscellaneous | Combined Instruments | EP SD3E MAR26 FID | SEDX | BIT SEDEX	2020-08-31	26	953.777421423	2020-08-28	4ce5bcc4-e59e-11e9-8320-5149c5b639d8
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | INTEL EUR | MTAH | BIT MTA	2020-09-01	-100	41.9	2020-08-28	efa022c8-1f2a-11e9-a2d0-b3645e528b7a
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | L'OREAL | XPAR | Euronext Optiq	2020-08-28	395	263.79000000000013	2020-08-28	ef9beed8-1f2a-11e9-a2d0-b3645e528b7a
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | CARREFOUR | XPAR | Euronext Optiq	2020-08-28	-782	16.719603580562712	2020-08-28	efa25142-1f2a-11e9-a2d0-b3645e528b7a
EQSSVOLOTC | EUR | Equities | Options | Call | SRS L0.7 - OTC - BCA ALBERTINI | 18 DEC 20 | C | A | .7000000000 | None | OTC Derivatives	2020-08-28	-700000	0.031	2020-08-28	53dc57f8-daf4-11ea-8be0-48a444c228a2
EQSSVOLOTC | EUR | Equities | Options | Call | IBERDROLA MAR21 CALL 3.891 OTC - EPSILON | 15 MAR 21 | C | E | 3.8910000000 | None | OTC Derivatives	2020-08-28	-17989.9	3.0259830125792804	2020-08-28	bc4f8736-7710-11e9-9400-98972329be46
EQSSVOLOTC | EUR | Equities | Options | Put | 1_TOT X40 Dec22 - OTC - STRUTT | 16 DEC 22 | P | A | 40.0000000000 | XOFF | OTC Derivatives	2020-08-28	150000	6.33	2020-08-28	c2ff1146-7710-11e9-9400-98972329be46
EQSSVOLOTC | EUR | Equities | Options | Call | BMW FEB21 CALL36.58 OTC - EPSILON | 11 FEB 21 | C | E | 36.5800000000 | None | OTC Derivatives	2020-08-28	-2323.678	37.07422071904971	2020-08-28	c1229bea-7710-11e9-9400-98972329be46
EQSSVOLOTC | EUR | Equities | Options | Call | BNP FEB24 CALL 21.065 OTC - EPSILON | 12 FEB 24 | C | E | 21.0650000000 | None | OTC Derivatives	2020-08-28	-4035.1293000000005	13.128561300137278	2020-08-28	c10a6a70-7710-11e9-9400-98972329be46
EQSSVOLOTC | EUR | Equities | Options | Call | BYG MAR23 CALL 17.505 OTC - EPSILON | 13 MAR 23 | C | E | 17.5050000000 | None | OTC Derivatives	2020-08-28	-3998.8534999999993	13.812939749718266	2020-08-28	bc651e20-7710-11e9-9400-98972329be46
EQ-INDEXVOL2 | EUR | Equities | Options | Put | MIBO0X18500 | 18 DEC 20 | P | E | 18500.0000000000 | XDMI | Borsa Italiana IDEM	2020-08-28	-20	1485	2020-08-28	6ee9ccda-5c53-11ea-a7c0-339eae0b4931
EQ-INDEXVOL2 | EUR | Equities | Options | Call | OPT_SX6E JUL26 C2Y FLOOR - 5112 | 30 JUL 21 | C | E | .0001000000 | XXXX | Internal	2020-08-31	102.075534	338.570654518	2020-08-28	15ad74b2-aef8-11ea-8700-3d076c78611f
VOL_STCK_AA_PR | EUR | Equities | Miscellaneous | Combined Instruments | EP SD3E FEB23 FID | SEDX | BIT SEDEX	2020-08-28	-61067	977.49519466076	2020-08-28	b4d6a5d0-416d-11e9-9360-37331ad62bfb
VOL_STCK_AA_PR | EUR | Equities | Miscellaneous | Combined Instruments | EP3 DDAXK MAY23 BDT | ETLX | EuroTLX Equities	2020-08-31	4	929.944163475	2020-08-28	341efa34-1f2e-11e9-a2d0-b3645e528b7a
VOL_STCK_AA_PR | EUR | Equities | Options | Call | OPT_CERT SD3E APR26 BDT C66.66 2Y - 4954 | 26 APR 21 | C | E | 1363.5535000000 | XXXX | Internal	2020-09-01	-0.423894507	127.194414294	2020-08-28	bc604dcc-9e9d-11ea-a0a0-6b77645bee53
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | COMMERZBANK | MTAH | BIT MTA	2020-09-01	379	4.948902374670185	2020-08-28	ef9f537a-1f2a-11e9-a2d0-b3645e528b7a
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | COMMERZBANK | XETR | Xetra T7	2020-09-01	-379	4.9511345646438	2020-08-28	ef9f537a-1f2a-11e9-a2d0-b3645e528b7a
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | AEGON | MTAH | BIT MTA	2020-09-01	-120	2.404	2020-08-28	ef9f6e5a-1f2a-11e9-a2d0-b3645e528b7a
EQSSVOLOTC | EUR | Equities | Options | Call | ENEL FEB25 CALL 2.63 OTC - EPSILON | 11 FEB 25 | C | E | 2.6300000000 | None | OTC Derivatives	2020-08-28	-32319.388949999993	1.2434310707529634	2020-08-28	c11dd006-7710-11e9-9400-98972329be46
EQSSVOLOTC | EUR | Equities | Options | Call | RDSA FEB25 CALL 13.885 OTC - EPSILON | 11 FEB 25 | C | E | 13.8850000000 | None | OTC Derivatives	2020-08-28	-6121.708999999999	13.382919945312654	2020-08-28	c1205ee8-7710-11e9-9400-98972329be46
EQSSVOLOTC | EUR | Equities | Options | Call | DCX FEB25 CALL 26.625 OTC - EPSILON | 11 FEB 25 | C | E | 26.6250000000 | None | OTC Derivatives	2020-08-28	-3192.49	24.115460165764027	2020-08-28	c1219da8-7710-11e9-9400-98972329be46
EQSSVOLOTC | EUR | Equities | Options | Call | DCX FEB23 CALL 26.625 OTC - EPSILON | 13 FEB 23 | C | E | 26.6250000000 | None | OTC Derivatives	2020-08-28	-3192.49	24.51013752512929	2020-08-28	c1216252-7710-11e9-9400-98972329be46
EQSSVOLOTC | EUR | Equities | Options | Call | ENI FEB25 CALL 7.675 OTC - EPSILON | 11 FEB 25 | C | E | 7.6750000000 | None | OTC Derivatives	2020-08-28	-11074.922999999995	7.971190522155326	2020-08-28	c11e9ef0-7710-11e9-9400-98972329be46
EQSSVOLOTC | EUR | Equities | Options | Call | ENI FEB23 CALL 7.675 OTC - EPSILON | 13 FEB 23 | C | E | 7.6750000000 | None | OTC Derivatives	2020-08-28	-11074.922999999995	7.626008645884041	2020-08-28	c11e71be-7710-11e9-9400-98972329be46
EQSSVOLOTC | EUR | Equities | Options | Call | TITL L0.475 - OTC CARIMONTE | 18 DEC 20 | C | E | .4750000000 | None | OTC Derivatives	2020-09-01	2000000	0.013500000000000002	2020-08-28	76d29a66-e90d-11ea-a590-49499a438f10
EQ-INDEXVOL2 | EUR | Equities | Options | Call | OESX 202012 C 3800 | 18 DEC 20 | C | E | 3800.0000000000 | XEUR | Eurex NTA	2020-08-28	-2	-9627.96914791148	2020-08-28	f3810992-1f30-11e9-a2d0-b3645e528b7a
EQ-INDEXVOL2 | EUR | Equities | Options | Call | OESX 202812 C 3300 | 15 DEC 28 | C | E | 3300.0000000000 | XEUR | Eurex NTA	2020-08-28	-1000	214.5	2020-08-28	00f77d90-1f31-11e9-a2d0-b3645e528b7a
EQ-INDEXVOL2 | EUR | Equities | Options | Call | MIBO1F19500 | 18 JUN 21 | C | E | 19500.0000000000 | XDMI | Borsa Italiana IDEM	2020-08-28	20	1495	2020-08-28	9b6e1d36-b44d-11ea-91c0-94d1ccfa987c
EQ-INDEXVOL2 | EUR | Equities | Options | Call | OPT_SX5E MAR22 CNP 2YCAP - 4894 | 29 MAR 21 | C | E | 47.2591110000 | XXXX | Internal	2020-08-28	1229.2226	3050.6277320894906	2020-08-28	bc595f94-9e9d-11ea-a0a0-6b77645bee53
EQ-INDEXVOL2 | EUR | Equities | Options | Call | OPT_SX5E NOV23 CCAP CREDEM - 5003 | 13 NOV 23 | C | E | 4062.9360000000 | XXXX | Internal	2020-08-28	791.4278988	75.6424079594	2020-08-28	e54e8b82-b094-11ea-bdb0-f7127f36688c
EQ-INDEXVOL2 | EUR | Equities | Miscellaneous | Combined Instruments | EP3 SX5E FEB22 PKB | ETLX | EuroTLX Equities	2020-08-28	0	0	2020-08-28	5e01593e-20c6-11e9-ae50-47deb3124dc8
RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | CAMDEN PROPERTY | XNYS | Reuters Elektron	2020-08-28	0	0	2020-08-28	25030edc-514c-11e9-b8d0-ec23cf8de3db
RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | SANDERSON FARMS INC | XNAS | Reuters Elektron	2020-08-28	0	0	2020-08-28	7d368f8e-5151-11e9-b8d0-ec23cf8de3db
RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | WALMART INC USD | XNYS | Reuters Elektron	2020-08-28	0	0	2020-08-28	5a5d0ede-1f2e-11e9-a2d0-b3645e528b7a
RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | Murphy USA Inc | XNYS | Reuters Elektron	2020-08-28	0	0	2020-08-28	b02dd595-4690-11ea-aa30-26a51b335ab2
RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | nVent Electric PLC | XNYS | Reuters Elektron	2020-08-28	0	0	2020-08-28	bd19940e-b76b-11e9-8770-d68c39c0c984
RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | VISA INC | XNYS | Reuters Elektron	2020-08-28	0	0	2020-08-28	5a8e4198-1f2e-11e9-a2d0-b3645e528b7a
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | DEUTSCHE BANK | XETR | Xetra T7	2020-09-01	-6756	8.301346358792184	2020-08-28	efa3973c-1f2a-11e9-a2d0-b3645e528b7a
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | FACEBOOK EUR | XETR | Xetra T7	2020-08-28	-1757	170.7873249857707	2020-08-28	efa2ebd4-1f2a-11e9-a2d0-b3645e528b7a
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | KERING | XPAR | Euronext Optiq	2020-08-28	-391	569.1797953964195	2020-08-28	ef9d618c-1f2a-11e9-a2d0-b3645e528b7a
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | UNILEVER | XAMS | Euronext Optiq	2020-08-28	7158	35.18280525286367	2020-08-28	6e48a974-1f2b-11e9-a2d0-b3645e528b7a
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | ADIDAS | MTAH | BIT MTA	2020-08-28	-3243	246.22214924452652	2020-08-28	ef9d91a2-1f2a-11e9-a2d0-b3645e528b7a
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | BASF | MTAH | BIT MTA	2020-08-28	-14985	50.93225392058723	2020-08-28	efa3354e-1f2a-11e9-a2d0-b3645e528b7a
EQSSVOLOTC | EUR | Equities | Options | Call | IBE FEB21 CALL 3.691 OTC - EPSILON | 11 FEB 21 | C | E | 3.6910000000 | None | OTC Derivatives	2020-08-28	-23028.985	1.6971141572023252	2020-08-28	c10e4b36-7710-11e9-9400-98972329be46
EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | SRS | MTAA | BIT MTA	2020-08-28	-2650000	1.0826745283018868	2020-08-28	ef9cd910-1f2a-11e9-a2d0-b3645e528b7a
EQSSVOLOTC | EUR | Equities | Options | Call | 3_BAYG G74.737 - OTC EPSILON | 05 AUG 21 | C | E | 74.7370000000 | None | OTC Derivatives	2020-08-28	34788.658899999995	1.3165	2020-08-28	e970942c-d6ef-11ea-9a70-8c74e2c4ffa0
EQSSVOLOTC | EUR | Equities | Options | Call | 5_GAS FEB21 CALL 11.87 OTC - EPSILON | 11 FEB 21 | C | E | 11.8700000000 | None | OTC Derivatives	2020-08-28	-7160.909999999999	11.13916588235294	2020-08-28	c124cfaa-7710-11e9-9400-98972329be46
EQSSVOLOTC | EUR | Equities | Options | Call | 5_GAS FEB25 CALL 11.87 OTC - EPSILON | 11 FEB 25 | C | E | 11.8700000000 | None | OTC Derivatives	2020-08-28	-7160.909999999999	12.531182941176473	2020-08-28	c12543ae-7710-11e9-9400-98972329be46
EQ-INDEXVOL2 | EUR | Equities | Options | Call | OPT_SX7E MAR23 CNP 5Y FLOOR - 4033 | 03 MAR 22 | C | E | 1.1801000000 | XXXX | Internal	2020-08-28	-23006.52447	59.029214681492974	2020-08-28	bbbbbfbe-9e9d-11ea-a0a0-6b77645bee53
EQ-INDEXVOL2 | EUR | Equities | Options | Call | OESX 202612 C 3600 | 18 DEC 26 | C | E | 3600.0000000000 | XEUR | Eurex NTA	2020-08-28	-3	364.29183459246116	2020-08-28	f9f8ea06-1f30-11e9-a2d0-b3645e528b7a
EQ-INDEXVOL2 | EUR | Equities | Options | Put | OPT_STXE OCT21 PATM - 3587 | 26 OCT 21 | P | E | 3418.2300000000 | XXXX | Internal	2020-08-28	10207.327159	539.0988929665317	2020-08-28	bb497bde-9e9d-11ea-a0a0-6b77645bee53
EQ-INDEXVOL2 | EUR | Equities | Options | Put | OPT_SX5E MAR23 P90 - 4031 | 01 MAR 23 | P | E | 3046.2390000000 | XXXX | Internal	2020-09-01	8.86338	355.059123495	2020-08-28	bbb3f554-9e9d-11ea-a0a0-6b77645bee53
EQ-INDEXVOL2 | EUR | Equities | Options | Put | OESX 202112 P 1400 | 17 DEC 21 | P | E | 1400.0000000000 | XEUR | Eurex NTA	2020-08-28	560	-772.6377169215725	2020-08-28	f44bee28-1f30-11e9-a2d0-b3645e528b7a
EQ-INDEXVOL2 | EUR | Equities | Options | Put | OEDV 202012 P 1250 | 18 DEC 20 | P | E | 1250.0000000000 | XEUR | Eurex NTA	2020-08-28	3000	100	2020-08-28	0595521a-64f3-11ea-8ed0-36b1606dc9af
RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | OWENS CORNING | XNYS | Reuters Elektron	2020-08-28	0	0	2020-08-28	55a5ab66-6809-11e9-b5c0-567da512d6fc
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | LVMH | ETLX | EuroTLX Equities	2020-08-28	55	391.25	2020-08-28	efa01314-1f2a-11e9-a2d0-b3645e528b7a
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | DEUTSCHE POST | XETR | Xetra T7	2020-08-28	5047	15.86321299782059	2020-08-28	efa3a312-1f2a-11e9-a2d0-b3645e528b7a
MTAINT | EUR | Equities | Equities | Common/Ordinary shares | NETFLIX EUR | XETR | Xetra T7	2020-08-28	-1027	383.9379746835448	2020-08-28	efa204bc-1f2a-11e9-a2d0-b3645e528b7a
EQSSVOLOTC | EUR | Equities | Options | Call | 5_GAS FEB22 CALL 11.87 OTC - EPSILON | 13 FEB 23 | C | E | 11.8700000000 | None | OTC Derivatives	2020-08-28	-7160.909999999999	11.688177647058826	2020-08-28	c124ff48-7710-11e9-9400-98972329be46
