POSPRICE	BASECURR_PORTCURR	POSITIONID	F_PURGED	QUANTITY	QUANTITY_BUY	QUOTCURR_PORTCURR	POSPRICE_BUY	PORTFOLIOID	QUANTITY_SELL	CURRENCY	SSL_SNAPSHOT_DATE	SSL_FEID	POSPRICE_SELL	FIID	PORTFOLIOID_FE	REF_DATE	POSITIONID_FE	INSTRUMENT_FE	MFAMILY	MGROUP	MTYPE	PL_KEY_FE	RSKSECTION	TYPOLOGY	USAGE	INTRADAY	QUANTITY_LIVE	SRC_ENTITYID	EQUIVALENT_POSITION
1.2489967925		STRATEGIC | USD | Equities | Equities | Common/Ordinary shares | TRANSENTERIX INC | ARCX | Reuters Elektron_5a74aa9e-1f2e-11e9-a2d0-b3645e528b7a_TBRX	N	-41153.0000000000	5000.0000000000			STRATEGIC_TBRX	46153.0000000000	USD	30200831	TBRX		L_S_5a74aa9e-1f2e-11e9-a2d0-b3645e528b7a_TRANSENTERIX INC_TBRX	STRATEGIC	20200831	STRATEGIC | USD | Equities | Equities | Common/Ordinary shares | TRANSENTERIX INC | ARCX | Reuters Elektron	TRANSENTERIX INC	Equities	Equities	Common/Ordinary shares	ARCX						INTESA SANPAOLO SPA - MILANO	
224.1082554889		VOL_STOCK_IDX_PR | EUR | Equities | Options | Call | OPT_SX5E MAY24 CATM - 4996 | 08 MAY 24 | C | E | 3361.0500000000 | XXXX | Internal_bc6b6dec-9e9d-11ea-a0a0-6b77645bee53_TBRX	N	3448.0288140000	3790.1837140000			VOL_STOCK_IDX_PR_TBRX	342.1549000000	EUR	30200831	TBRX		O_bc6b6dec-9e9d-11ea-a0a0-6b77645bee53_OPT_SX5E MAY24 CATM - 4996 | 08 MAY 24 | C | E | 3361.0500000000_TBRX	VOL_STOCK_IDX_PR	20200831	VOL_STOCK_IDX_PR | EUR | Equities | Options | Call | OPT_SX5E MAY24 CATM - 4996 | 08 MAY 24 | C | E | 3361.0500000000 | XXXX | Internal	OPT_SX5E MAY24 CATM - 4996	Equities	Options	Call	XXXX						INTESA SANPAOLO SPA - MILANO	
21.9280143735		VOL_STOCK_IDX_PR | EUR | Equities | Options | Call | OPT_SX5E JAN24 CCAP - 4855 | 24 JAN 24 | C | E | 4739.1450000000 | XXXX | Internal_bc44a96e-9e9d-11ea-a0a0-6b77645bee53_TBRX	N	-1114.1250560000	120.2748640000			VOL_STOCK_IDX_PR_TBRX	1234.3999200000	EUR	30200831	TBRX		O_bc44a96e-9e9d-11ea-a0a0-6b77645bee53_OPT_SX5E JAN24 CCAP - 4855 | 24 JAN 24 | C | E | 4739.1450000000_TBRX	VOL_STOCK_IDX_PR	20200831	VOL_STOCK_IDX_PR | EUR | Equities | Options | Call | OPT_SX5E JAN24 CCAP - 4855 | 24 JAN 24 | C | E | 4739.1450000000 | XXXX | Internal	OPT_SX5E JAN24 CCAP - 4855	Equities	Options	Call	XXXX						INTESA SANPAOLO SPA - MILANO	
3.5577928130		EQ-INDEXVOL2 | EUR | Equities | Options | Call | OPT_SX5E DEC21 CCAP - 3624 | 23 DEC 21 | C | E | 4507.4208000000 | XXXX | Internal_bb53d728-9e9d-11ea-a0a0-6b77645bee53_TBRX	N	7087.5202500000	7865.9707500000			EQ-INDEXVOL2_TBRX	778.4505000000	EUR	30200831	TBRX		O_bb53d728-9e9d-11ea-a0a0-6b77645bee53_OPT_SX5E DEC21 CCAP - 3624 | 23 DEC 21 | C | E | 4507.4208000000_TBRX	EQ-INDEXVOL2	20200831	EQ-INDEXVOL2 | EUR | Equities | Options | Call | OPT_SX5E DEC21 CCAP - 3624 | 23 DEC 21 | C | E | 4507.4208000000 | XXXX | Internal	OPT_SX5E DEC21 CCAP - 3624	Equities	Options	Call	XXXX						INTESA SANPAOLO SPA - MILANO	
-0.0022134454		EQ_SSVOL | EUR | Equities | Rights | Warrants Call | I06098 | SEDX | BIT SEDEX_d399d1da-5211-11ea-8640-38c7f938b954_TBRX	N	-595000.0000000000	3469000.0000000000			EQ_SSVOL_TBRX	4064000.0000000000	EUR	30200831	TBRX		L_S_d399d1da-5211-11ea-8640-38c7f938b954_I06098_TBRX	EQ_SSVOL	20200831	EQ_SSVOL | EUR | Equities | Rights | Warrants Call | I06098 | SEDX | BIT SEDEX	I06098	Equities	Rights	Warrants Call	SEDX						INTESA SANPAOLO SPA - MILANO	
0.0000000000		RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | AMER EAGLE OUTF | XNYS | Reuters Elektron_24ffac4c-514c-11e9-b8d0-ec23cf8de3db_TBRX	N	0.0000000000	4125.0000000000			RELATIVE09_TBRX	4125.0000000000	USD	30200831	TBRX		L_S_24ffac4c-514c-11e9-b8d0-ec23cf8de3db_AMER EAGLE OUTF_TBRX	RELATIVE09	20200831	RELATIVE09 | USD | Equities | Equities | Common/Ordinary shares | AMER EAGLE OUTF | XNYS | Reuters Elektron	AMER EAGLE OUTF	Equities	Equities	Common/Ordinary shares	XNYS						INTESA SANPAOLO SPA - MILANO	
35.3632666667		EPSILON | CHF | Equities | Equities | Common/Ordinary shares | JULIUS BAER N | XSWX | Reuters Elektron_5a5a7138-1f2e-11e9-a2d0-b3645e528b7a_TBRX	N	-1500.0000000000	100.0000000000			EPSILON_TBRX	1600.0000000000	CHF	30200831	TBRX		L_S_5a5a7138-1f2e-11e9-a2d0-b3645e528b7a_JULIUS BAER N_TBRX	EPSILON	20200831	EPSILON | CHF | Equities | Equities | Common/Ordinary shares | JULIUS BAER N | XSWX | Reuters Elektron	JULIUS BAER N	Equities	Equities	Common/Ordinary shares	XSWX						INTESA SANPAOLO SPA - MILANO	
31.0565883555		EQ-TLX | EUR | Equities | Equities | Common/Ordinary shares | PFIZER INC EUR | XETR | Xetra T7_e35ac0e4-1f2b-11e9-a2d0-b3645e528b7a_TBRX	N	1958.0000000000	2394.0000000000			EQ-TLX_TBRX	436.0000000000	EUR	30200831	TBRX		L_S_e35ac0e4-1f2b-11e9-a2d0-b3645e528b7a_PFIZER INC EUR_TBRX	EQ-TLX	20200831	EQ-TLX | EUR | Equities | Equities | Common/Ordinary shares | PFIZER INC EUR | XETR | Xetra T7	PFIZER INC EUR	Equities	Equities	Common/Ordinary shares	XETR						INTESA SANPAOLO SPA - MILANO	
0.0000000000		EQ_MNGT | EUR | Equities | Equities | Common/Ordinary shares | TELEFONICA | XMAD | Reuters Elektron_ef9f3a5c-1f2a-11e9-a2d0-b3645e528b7a_TBRX	N	0.0000000000	140000.0000000000			EQ_MNGT_TBRX	140000.0000000000	EUR	30200831	TBRX		L_S_ef9f3a5c-1f2a-11e9-a2d0-b3645e528b7a_TELEFONICA_TBRX	EQ_MNGT	20200831	EQ_MNGT | EUR | Equities | Equities | Common/Ordinary shares | TELEFONICA | XMAD | Reuters Elektron	TELEFONICA	Equities	Equities	Common/Ordinary shares	XMAD						INTESA SANPAOLO SPA - MILANO	
22.1637006338		BASKETRADING | EUR | Equities | Equities | Common/Ordinary shares | BZU | MTAA | BIT MTA_ef9fc3a0-1f2a-11e9-a2d0-b3645e528b7a_TBRX	N	8204.0000000000	11901.0000000000			BASKETRADING_TBRX	3697.0000000000	EUR	30200831	TBRX		L_S_ef9fc3a0-1f2a-11e9-a2d0-b3645e528b7a_BZU_TBRX	BASKETRADING	20200831	BASKETRADING | EUR | Equities | Equities | Common/Ordinary shares | BZU | MTAA | BIT MTA	BZU	Equities	Equities	Common/Ordinary shares	MTAA						INTESA SANPAOLO SPA - MILANO	
