ISS_NUMOUT	INSTRUMENTID_FE	ISS_PRICE	UNDERLYINGID	MKT_TRDCLAUSE	MKT_SETTL_CONV	F_TAX_CREDIT	MKT_SETTL_TYPE	ORIGINAL_CURRENCY	RIC3	RIC1	RIC2	RIC0	ISSUERID	MKT_SETTL_PAYSHIFT	FIID	MKT_SETTLRULE	GUARANTOR	LOTSIZE1	LOTSIZE0	MARKET	CURRENCY	F_GUARANTED	SSL_SNAPSHOT_DATE	ISIN	DESCRIPTION	QUOTATION	ISS_NUM	F_QPERCENTAGE	UNDERLYINGID_FE	LEADMANAGER	ISS_DATE	SENIORITY	F_QDIRTY	SSL_FEID	SECURITY_DEATH	F_DIVIDEND_GEN_MODE	REF_DATE	CLEARING_CENTER_NAME
	INTEL USD		L_S_5b063c8e-1f2e-11e9-a2d0-b3645e528b7a_INTEL USD_TBRX				Cash						0C9765_TBRX		L_S_5b063c8e-1f2e-11e9-a2d0-b3645e528b7a_INTEL USD_TBRX				1.0000000000	 	USD		30200831.0000000000	US4581401001	INTEL ORD		0		INTEL USD		20180115		0	TBRX			20200831	
	MS		L_S_ef9e6f96-1f2a-11e9-a2d0-b3645e528b7a_MS_TBRX				Cash						MEDIASET_TBRX		L_S_ef9e6f96-1f2a-11e9-a2d0-b3645e528b7a_MS_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0001063210	MEDIASET S.P.A		0		MS		20081110		0	TBRX			20200831	
	CRO Delisted		L_S_a351ee96-20bb-11e9-9c0d-49f1f1bbe9eb_CRO Delisted_TBRX				Cash								L_S_a351ee96-20bb-11e9-9c0d-49f1f1bbe9eb_CRO Delisted_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0003117436	CRO Delisted		0		CRO Delisted				0	TBRX			20200831	
	COSAN		L_S_335ef10c-e90c-11e9-2c55-5167f907e99e_COSAN_TBRX				Cash								L_S_335ef10c-e90c-11e9-2c55-5167f907e99e_COSAN_TBRX				1.0000000000	 	USD		30200831.0000000000	BMG253431073			0		COSAN				0	TBRX			20200831	
	NORDSTROM INC		L_S_5a43cec4-1f2e-11e9-a2d0-b3645e528b7a_NORDSTROM INC_TBRX				Cash						0B6729_TBRX		L_S_5a43cec4-1f2e-11e9-a2d0-b3645e528b7a_NORDSTROM INC_TBRX				1.0000000000	 	USD		30200831.0000000000	US6556641008	NORDSTROM ORD		0		NORDSTROM INC		20180118		0	TBRX			20200831	
	SOL		L_S_ef9cfe22-1f2a-11e9-a2d0-b3645e528b7a_SOL_TBRX				Cash						SOL_TBRX		L_S_ef9cfe22-1f2a-11e9-a2d0-b3645e528b7a_SOL_TBRX				1.0000000000	 	EUR		30200831.0000000000	IT0001206769	SOL		0		SOL		20081110		0	TBRX			20200831	
	JPMORGAN CHASE USD		L_S_2509f5a8-514c-11e9-b8d0-ec23cf8de3db_JPMORGAN CHASE USD_TBRX				Cash								L_S_2509f5a8-514c-11e9-b8d0-ec23cf8de3db_JPMORGAN CHASE USD_TBRX				1.0000000000	 	USD		30200831.0000000000	US46625H1005	JPMORGAN CHASE		0		JPMORGAN CHASE USD				0	TBRX			20200831	
	Carrier Global Corp		L_S_8daff135-9386-11ea-d6f2-ab793c79e5a1_Carrier Global Corp_TBRX				Cash								L_S_8daff135-9386-11ea-d6f2-ab793c79e5a1_Carrier Global Corp_TBRX				1.0000000000	 	USD		30200831.0000000000	US14448C1045			0		Carrier Global Corp				0	TBRX			20200831	
	MEOG		L_S_e33e33e8-1f2b-11e9-a2d0-b3645e528b7a_MEOG_TBRX				Cash						CECONOMY AG_TBRX		L_S_e33e33e8-1f2b-11e9-a2d0-b3645e528b7a_MEOG_TBRX				1.0000000000	 	EUR		30200831.0000000000	DE0007257503	CECONOMY		0		MEOG		20020129		0	TBRX			20200831	
	MATTEL INC		L_S_5a60dd16-1f2e-11e9-a2d0-b3645e528b7a_MATTEL INC_TBRX				Cash						0C3358_TBRX		L_S_5a60dd16-1f2e-11e9-a2d0-b3645e528b7a_MATTEL INC_TBRX				1.0000000000	 	USD		30200831.0000000000	US5770811025	MATTEL ORD		0		MATTEL INC		20180118		0	TBRX			20200831	
	StoneCo		L_S_0a13882f-5971-11ea-687b-91dd79bf2ab3_StoneCo_TBRX				Cash								L_S_0a13882f-5971-11ea-687b-91dd79bf2ab3_StoneCo_TBRX				1.0000000000	 	USD		30200831.0000000000	KYG851581069			0		StoneCo				0	TBRX			20200831	
	BIOGEN USD		L_S_5b09d9c0-1f2e-11e9-a2d0-b3645e528b7a_BIOGEN USD_TBRX				Cash						0B7373_TBRX		L_S_5b09d9c0-1f2e-11e9-a2d0-b3645e528b7a_BIOGEN USD_TBRX				1.0000000000	 	USD		30200831.0000000000	US09062X1037	BIOGEN ORD		0		BIOGEN USD		20180115		0	TBRX			20200831	
