ASSETCLASS_DES	NEW_MTYPE	DESCRIPTION_EXT	FI_TYPE	NUMBEROFPHASES	INSTRUMENT_FE	ASSETCLASS	NEW_MGROUP	SSL_FEID	SEC_REFERENCE	F_ISLISTED	TYPOLOGY_DES	SEC_GROUP	DESCRIPTION	COMMENT1	COMMENT0	COMMENT2	ISSUERID	TYPE_DES	FIID	SEC_TYPE	PHASE	ISIN	GROUP_DES	INSTRUMENTID_FE	MTYPE	FAMILY_DES	NEW_MFAMILY	F_LABELCHG	SSL_SNAPSHOT_DATE	TYPOLOGY	MFAMILY	SEC_CATEGORY	REF_DATE	NEW_TYPOLOGY	STRUCTID_FE	INSTRUMENTNUM_FE	MGROUP	QUANTITYFACTOR
	Common/Ordinary shares		FI_EQUITY	1.0000000000	SCOTTS MIRACLE		Equities	TBRX		Y		Equities	SCOTTS MIRACLE						L_S_5a780400-1f2e-11e9-a2d0-b3645e528b7a_SCOTTS MIRACLE_TBRX	Equities	0.0000000000	US8101861065		SCOTTS MIRACLE			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Financial Futures		FI_FUTURE	1.0000000000	FGDV 202009		Futures	TBRX		Y		Equities	FGDV 202009						L_S_981518ea-2615-11ea-8360-2a448c700fd7_FGDV 202009 | SEP 20_TBRX	Futures	0.0000000000	DE000C40CQE1		FGDV 202009 | SEP 20			Equities		30200831		Equities	Financial Futures	20200831				Future	
	Call		FI_OPTION	1.0000000000	ENEL0L10		Options	TBRX		Y		Equities	ENEL0L10						O_4c3c1b9a-1f30-11e9-a2d0-b3645e528b7a_ENEL0L10 | 18 DEC 20 | C | A | 10.0000000000_TBRX	Options	0.0000000000	IT0014338617		ENEL0L10 | 18 DEC 20 | C | A | 10.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	DAI 202112 P 60		Options	TBRX		Y		Equities	DAI 202112 P 60						O_f4bc929a-1f30-11e9-a2d0-b3645e528b7a_DAI 202112 P 60 | 17 DEC 21 | P | A | 60.0000000000_TBRX	Options	0.0000000000	DE000C0JUFX6		DAI 202112 P 60 | 17 DEC 21 | P | A | 60.0000000000			Equities		30200831		Equities	Put	20200831				Put	
	Call		FI_OPTION	1.0000000000	ENEL1F6.40		Options	TBRX		Y		Equities	ENEL1F6.40						O_4e260164-1f30-11e9-a2d0-b3645e528b7a_ENEL1F6.40 | 18 JUN 21 | C | A | 6.4000000000_TBRX	Options	0.0000000000	IT0014746108		ENEL1F6.40 | 18 JUN 21 | C | A | 6.4000000000			Equities		30200831		Equities	Call	20200831				Call	
	Combined Instruments		FI_OPTION	1.0000000000	EP3 SD3E OCT24 BDT		Miscellaneous	TBRX		Y		Equities	IMI - EP ESXX SEL DIV30 31OT24						L_S_342e7072-1f2e-11e9-a2d0-b3645e528b7a_EP3 SD3E OCT24 BDT_TBRX	Miscellaneous	0.0000000000	IT0005282949		EP3 SD3E OCT24 BDT			Equities		30200831		Equities	Combined Instruments	20200831				Composite	
	Call		FI_OPTION	1.0000000000	OESX 202212 C 3800		Options	TBRX		Y		Equities	OESX 202212 C 3800						O_f96ca24e-1f30-11e9-a2d0-b3645e528b7a_OESX 202212 C 3800 | 16 DEC 22 | C | E | 3800.0000000000_TBRX	Options	0.0000000000	DE000C8FHTV9		OESX 202212 C 3800 | 16 DEC 22 | C | E | 3800.0000000000			Equities		30200831		Equities	Call	20200831				Call	
	Put		FI_OPTION	1.0000000000	EP3 SXDP SEPT20 BDT PUT 85		Options	TBRX		Y		Equities							O_82306356-62b4-11e9-b160-4ad6f9df0bf5_EP3 SXDP SEPT20 BDT PUT 85 | 23 SEP 20 | P | E | 629.6885000000_TBRX	Options	0.0000000000			EP3 SXDP SEPT20 BDT PUT 85 | 23 SEP 20 | P | E | 629.6885000000			Equities		30200831		Equities	Put	20200831				Put	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	UPM-KYMMENE OY		Equities	TBRX		Y		Equities	UPM KYMMENE ORD						L_S_5b2433d8-1f2e-11e9-a2d0-b3645e528b7a_UPM-KYMMENE OY_TBRX	Equities	0.0000000000	FI0009005987		UPM-KYMMENE OY			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	CISCO SYSTEMS USD		Equities	TBRX		Y		Equities	CISCO SYSTEMS O						L_S_5aca3716-1f2e-11e9-a2d0-b3645e528b7a_CISCO SYSTEMS USD_TBRX	Equities	0.0000000000	US17275R1023		CISCO SYSTEMS USD			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	SD3E JAN23 C134		Options	TBRX		Y		Equities							O_814952af-62b4-11e9-b160-4ad6f9df0bf5_SD3E JAN23 C134 | 27 JAN 23 | C | E | 2656.9788000000_TBRX	Options	0.0000000000			SD3E JAN23 C134 | 27 JAN 23 | C | E | 2656.9788000000			Equities		30200831		Equities	Call	20200831				Call	
	Warrants Call		FI_OPTION	1.0000000000	I06223		Rights	TBRX		Y		Equities	BI CW CALL UNICREDIT 17,5 E 071220						L_S_d3bfdc68-5211-11ea-8640-38c7f938b954_I06223_TBRX	Rights	0.0000000000	IT0005401697		I06223	Warrant		Equities		30200831		Equities	Warrants Call	20200831				Call	
	Call		FI_OPTION	1.0000000000	OPT_DJGT SEP20 CCAP - 3549		Options	TBRX		Y		Equities							O_bb39c176-9e9d-11ea-a0a0-6b77645bee53_OPT_DJGT SEP20 CCAP - 3549 | 03 SEP 20 | C | E | 318.0240000000_TBRX	Options	0.0000000000			OPT_DJGT SEP20 CCAP - 3549 | 03 SEP 20 | C | E | 318.0240000000			Equities		30200831		Equities	Call	20200831				Call	
	Common/Ordinary shares		FI_EQUITY	1.0000000000	CARMAX INC		Equities	TBRX		Y		Equities	CARMAX ORD						L_S_5ae0f370-1f2e-11e9-a2d0-b3645e528b7a_CARMAX INC_TBRX	Equities	0.0000000000	US1431301027		CARMAX INC			Equities		30200831		Equities	Common/Ordinary shares	20200831				Spot	
	Call		FI_OPTION	1.0000000000	SX5E APR22 C CAP		Options	TBRX		Y		Equities							O_815e9ed4-62b4-11e9-b160-4ad6f9df0bf5_SX5E APR22 C CAP | 28 APR 22 | C | E | 4178.9298000000_TBRX	Options	0.0000000000			SX5E APR22 C CAP | 28 APR 22 | C | E | 4178.9298000000			Equities		30200831		Equities	Call	20200831				Call	
