Bof_20200828
ACCRUAL_END_DATE	ACCRUAL_START_DATE	ACCRUALSTART_MATURITY_DAYS	ANNUALIZED_COUPON	CAP_STRIKE_NET	CASHFLOW_NUMBER	CASHFLOW_WDAYS	CURRENCY	DELIVERY_END_DATE	DELIVERY_START_DATE	EFFECTIVE_DATE	F_ISCALL	F_ISESTIMATED	F_ISKNOWN	F_ISPAYER	F_LEG_ISVARIABLE	FIXING_DATE	FIXING_END_DATE	FIXING_REF_VALUE	FIXING_START_DATE	H_FIXVALUE	FIXING_VALUE	FLOOR_STRIKE_NET	INSTRUMENTID_FE	INTEREST	LEG	MTYPE	OUTSTANDING	PHASE	PORTFOLIOID_FE	PREMIUM	PREMIUM_DISC	RATE	REDEMPTION	REDEMPTION_PRICE	REF_DATE	SPREAD	STRIKE_NET	COMMENT	POSITION_CASHFLOW_ID	TBRICKS_INSTRUMENT_ID
2020-08-28	2020-08-28				adf5727e-e954-11ea-a590-49499a438f10		EUR			2020-08-28				Y									FESX 202009 | SEP 20	-1240.753272		FINANCING			VOLTRADING						2020-08-28				VOLTRADING | FESX 202009 | SEP 20	f67d7c3e-1f30-11e9-a2d0-b3645e528b7a
2020-08-28	2020-08-28				adf5731e-e954-11ea-a590-49499a438f10		EUR			2020-08-28				Y									FESX 202009 | SEP 20	-1092523.5044057718		DEPOSIT_OR_WITHDRAWAL			VOLTRADING						2020-08-28				VOLTRADING | FESX 202009 | SEP 20	f67d7c3e-1f30-11e9-a2d0-b3645e528b7a
2020-08-28	2020-08-28				adf573be-e954-11ea-a590-49499a438f10		EUR			2020-08-28				Y									FESX 202009 | SEP 20	-385.43538999999987		FINANCING			EQ_MNGT						2020-08-28				EQ_MNGT | FESX 202009 | SEP 20	f67d7c3e-1f30-11e9-a2d0-b3645e528b7a
2020-08-28	2020-08-28				adf54c5e-e954-11ea-a590-49499a438f10		GBP			2020-08-28				N									PERSIMMON	706.6697719999997		FINANCING			ETF_DIR						2020-08-28				ETF_DIR | PERSIMMON	5ac69de0-1f2e-11e9-a2d0-b3645e528b7a
2020-08-28	2020-08-28				adff4e34-e954-11ea-a590-49499a438f10		GBP			2020-08-28				N									RIO TINTO	87.57240300000005		FINANCING			TEAM_STRAT						2020-08-28				TEAM_STRAT | RIO TINTO	5ad0c946-1f2e-11e9-a2d0-b3645e528b7a
2020-08-28	2020-08-28				adf54b1e-e954-11ea-a590-49499a438f10		EUR			2020-08-28				Y									PRI	-70.36962200000002		FINANCING			TED-EQUITY-2						2020-08-28				TED-EQUITY-2 | PRI	efa0efaa-1f2a-11e9-a2d0-b3645e528b7a
2020-08-28	2020-08-28				adfd44d6-e954-11ea-a590-49499a438f10		EUR			2020-08-28				N									LUVE	13.396739000000004		FINANCING			BT						2020-08-28				BT | LUVE	ef9ea894-1f2a-11e9-a2d0-b3645e528b7a
2020-08-28	2020-08-28				adff4434-e954-11ea-a590-49499a438f10		GBP			2020-08-28				Y									GLENCORE	-535.3741859999998		FINANCING			LONG_ONLY						2020-08-28				LONG_ONLY | GLENCORE	5a92a2ba-1f2e-11e9-a2d0-b3645e528b7a
2020-08-28	2020-08-28				adfd4576-e954-11ea-a590-49499a438f10		EUR			2020-08-28				N									LUVE	1535		DIVIDEND			EQ1-CASH						2020-08-28				EQ1-CASH | LUVE	ef9ea894-1f2a-11e9-a2d0-b3645e528b7a
2020-08-28	2020-08-28				adfd4616-e954-11ea-a590-49499a438f10		EUR			2020-08-28				Y									LUVE	-49.656324000000026		FINANCING			EQ1-CASH						2020-08-28				EQ1-CASH | LUVE	ef9ea894-1f2a-11e9-a2d0-b3645e528b7a
