INSTRUMENTID_FE	REF_DATE	QUANTITYFACTOR	FIID	SSL_FEID	SSL_SNAPSHOT_DATE	COMPONENT_FIID	COMPONENT_INSTRUMENTID_FE
EP3 SXDP SEPT20 BDT	20200831	1.3498740000	L_S_34124136-1f2e-11e9-a2d0-b3645e528b7a_EP3 SXDP SEPT20 BDT_TBRX	TBRX	30200831	O_822fb29f-62b4-11e9-b160-4ad6f9df0bf5_EP3 SXDP SEPT20 BDT PUT 100 BOND | 23 SEP 20 | P | E | 740.8100000000_TBRX	EP3 SXDP SEPT20 BDT PUT 100 BOND | 23 SEP 20 | P | E | 740.8100000000
EP3 SXDP SEPT20 BDT	20200831	-1.3498740000	L_S_34124136-1f2e-11e9-a2d0-b3645e528b7a_EP3 SXDP SEPT20 BDT_TBRX	TBRX	30200831	O_82301b26-62b4-11e9-b160-4ad6f9df0bf5_EP3 SXDP SEPT20 BDT PUT ATM | 23 SEP 20 | P | E | 740.8100000000_TBRX	EP3 SXDP SEPT20 BDT PUT ATM | 23 SEP 20 | P | E | 740.8100000000
EP3 SX5E APR22 BDT	20200831	-0.3302280000	L_S_3414f372-1f2e-11e9-a2d0-b3645e528b7a_EP3 SX5E APR22 BDT_TBRX	TBRX	30200831	O_815e1f4a-62b4-11e9-b160-4ad6f9df0bf5_SX5E APR22 C100 BOND | 28 APR 22 | C | E | 3028.2100000000_TBRX	SX5E APR22 C100 BOND | 28 APR 22 | C | E | 3028.2100000000
EP3 SX5E APR22 BDT	20200831	0.3302280000	L_S_3414f372-1f2e-11e9-a2d0-b3645e528b7a_EP3 SX5E APR22 BDT_TBRX	TBRX	30200831	O_815e6568-62b4-11e9-b160-4ad6f9df0bf5_SX5E APR22 CATM | 28 APR 22 | C | E | 3028.2100000000_TBRX	SX5E APR22 CATM | 28 APR 22 | C | E | 3028.2100000000
EP3 SX5E APR22 BDT	20200831	-0.3302280000	L_S_3414f372-1f2e-11e9-a2d0-b3645e528b7a_EP3 SX5E APR22 BDT_TBRX	TBRX	30200831	O_815e9ed4-62b4-11e9-b160-4ad6f9df0bf5_SX5E APR22 C CAP | 28 APR 22 | C | E | 4178.9298000000_TBRX	SX5E APR22 C CAP | 28 APR 22 | C | E | 4178.9298000000
EP3 SX5E FEB22 BDT	20200831	0.3413950000	L_S_3417df6a-1f2e-11e9-a2d0-b3645e528b7a_EP3 SX5E FEB22 BDT_TBRX	TBRX	30200831	O_7b761cfe-62b4-11e9-b160-4ad6f9df0bf5_SX5E FEB22 C0 BOND | 21 FEB 22 | C | E | .0001000000_TBRX	SX5E FEB22 C0 BOND | 21 FEB 22 | C | E | .0001000000
EP3 SX5E FEB22 BDT	20200831	0.3413950000	L_S_3417df6a-1f2e-11e9-a2d0-b3645e528b7a_EP3 SX5E FEB22 BDT_TBRX	TBRX	30200831	O_7b769558-62b4-11e9-b160-4ad6f9df0bf5_SX5E DEC21 P100 BOND | 21 FEB 22 | P | E | 2929.1600000000_TBRX	SX5E DEC21 P100 BOND | 21 FEB 22 | P | E | 2929.1600000000
EP3 SX5E FEB22 BDT	20200831	-0.3413950000	L_S_3417df6a-1f2e-11e9-a2d0-b3645e528b7a_EP3 SX5E FEB22 BDT_TBRX	TBRX	30200831	O_7b770c9a-62b4-11e9-b160-4ad6f9df0bf5_SX5E DEC21 PATM | 21 FEB 22 | P | E | 2929.1600000000_TBRX	SX5E DEC21 PATM | 21 FEB 22 | P | E | 2929.1600000000
EP3 SX5E FEB22 BDT	20200831	-0.3413950000	L_S_3417df6a-1f2e-11e9-a2d0-b3645e528b7a_EP3 SX5E FEB22 BDT_TBRX	TBRX	30200831	O_7b78947a-62b4-11e9-b160-4ad6f9df0bf5_SX5E DEC21 CCAP | 21 FEB 22 | C | E | 4452.3232000000_TBRX	SX5E DEC21 CCAP | 21 FEB 22 | C | E | 4452.3232000000
EPC SD3E SEP24 BDT	20200831	-0.5104980000	L_S_34184360-1f2e-11e9-a2d0-b3645e528b7a_EPC SD3E SEP24 BDT_TBRX	TBRX	30200831	O_7b875906-62b4-11e9-b160-4ad6f9df0bf5_EPC SD3E SEP24 PATM | 09 SEP 24 | P | E | 1958.8700000000_TBRX	EPC SD3E SEP24 PATM | 09 SEP 24 | P | E | 1958.8700000000
EPC SD3E SEP24 BDT	20200831	0.5104980000	L_S_34184360-1f2e-11e9-a2d0-b3645e528b7a_EPC SD3E SEP24 BDT_TBRX	TBRX	30200831	O_7b88f5e0-62b4-11e9-b160-4ad6f9df0bf5_EPC SD3E SEP24 P92 | 09 SEP 24 | P | E | 1802.1604000000_TBRX	EPC SD3E SEP24 P92 | 09 SEP 24 | P | E | 1802.1604000000
EPC SD3E SEP24 BDT	20200831	0.5104980000	L_S_34184360-1f2e-11e9-a2d0-b3645e528b7a_EPC SD3E SEP24 BDT_TBRX	TBRX	30200831	O_7b8ada40-62b4-11e9-b160-4ad6f9df0bf5_EPC SD3E SEP24 P100 BOND | 09 SEP 24 | P | E | 1958.8700000000_TBRX	EPC SD3E SEP24 P100 BOND | 09 SEP 24 | P | E | 1958.8700000000
EPC SD3E SEP24 BDT	20200831	0.5104980000	L_S_34184360-1f2e-11e9-a2d0-b3645e528b7a_EPC SD3E SEP24 BDT_TBRX	TBRX	30200831	O_7b937132-62b4-11e9-b160-4ad6f9df0bf5_EPC SD3E SEP24 CNP 2Y FLOOR | 11 SEP 20 | C | E | .1000000000_TBRX	EPC SD3E SEP24 CNP 2Y FLOOR | 11 SEP 20 | C | E | .1000000000
EPC SD3E MAY25 BDT	20200831	0.4974560000	L_S_34185f4e-1f2e-11e9-a2d0-b3645e528b7a_EPC SD3E MAY25 BDT_TBRX	TBRX	30200831	O_89c69f0e-62b4-11e9-b160-4ad6f9df0bf5_SD3E MAY25 C0 BOND | 28 MAY 25 | C | E | .0001000000_TBRX	SD3E MAY25 C0 BOND | 28 MAY 25 | C | E | .0001000000
EPC SD3E MAY25 BDT	20200831	0.4974560000	L_S_34185f4e-1f2e-11e9-a2d0-b3645e528b7a_EPC SD3E MAY25 BDT_TBRX	TBRX	30200831	O_89c91fa4-62b4-11e9-b160-4ad6f9df0bf5_SD3E MAY25 P100 BOND | 28 MAY 25 | P | E | 2010.2300000000_TBRX	SD3E MAY25 P100 BOND | 28 MAY 25 | P | E | 2010.2300000000
EPC SD3E MAY25 BDT	20200831	-0.4974560000	L_S_34185f4e-1f2e-11e9-a2d0-b3645e528b7a_EPC SD3E MAY25 BDT_TBRX	TBRX	30200831	O_89cd8e36-62b4-11e9-b160-4ad6f9df0bf5_SD3E MAY25 CCAP | 28 MAY 25 | C | E | 2653.5040000000_TBRX	SD3E MAY25 CCAP | 28 MAY 25 | C | E | 2653.5040000000
EP CED SX5E DEC25 BDT	20200831	0.0174115240	L_S_34190f8e-1f2e-11e9-a2d0-b3645e528b7a_EP CED SX5E DEC25 BDT_TBRX	TBRX	30200831	O_7bb3487c-62b4-11e9-b160-4ad6f9df0bf5_EP CED DEC25 SX5E DEC25 CALL50 3Y | 27 DEC 21 | C | E | 1493.2650000000_TBRX	EP CED DEC25 SX5E DEC25 CALL50 3Y | 27 DEC 21 | C | E | 1493.2650000000
EP CED SX5E DEC25 BDT	20200831	0.0174115240	L_S_34190f8e-1f2e-11e9-a2d0-b3645e528b7a_EP CED SX5E DEC25 BDT_TBRX	TBRX	30200831	O_7bb38f12-62b4-11e9-b160-4ad6f9df0bf5_EP CED DEC25 SX5E DEC25 CALL50 5Y | 21 DEC 23 | C | E | 1493.2650000000_TBRX	EP CED DEC25 SX5E DEC25 CALL50 5Y | 21 DEC 23 | C | E | 1493.2650000000
EP CED SX5E DEC25 BDT	20200831	0.0174115240	L_S_34190f8e-1f2e-11e9-a2d0-b3645e528b7a_EP CED SX5E DEC25 BDT_TBRX	TBRX	30200831	O_7bb3e0b6-62b4-11e9-b160-4ad6f9df0bf5_EP CED DEC25 SX5E DEC25 CALL50 7Y | 23 DEC 25 | C | E | 1493.2650000000_TBRX	EP CED DEC25 SX5E DEC25 CALL50 7Y | 23 DEC 25 | C | E | 1493.2650000000
EP CED SX5E DEC25 BDT	20200831	0.3348370000	L_S_34190f8e-1f2e-11e9-a2d0-b3645e528b7a_EP CED SX5E DEC25 BDT_TBRX	TBRX	30200831	O_7bb5b0ee-62b4-11e9-b160-4ad6f9df0bf5_EP CED DEC25 SX5E DEC25 PUT100 BOND | 23 DEC 25 | P | E | 2986.5300000000_TBRX	EP CED DEC25 SX5E DEC25 PUT100 BOND | 23 DEC 25 | P | E | 2986.5300000000
EPC SX6E NOV25 BDT	20200831	3.5774340000	L_S_341c0f36-1f2e-11e9-a2d0-b3645e528b7a_EPC SX6E NOV25 BDT_TBRX	TBRX	30200831	O_82aac150-62b4-11e9-b160-4ad6f9df0bf5_SX6E NOV25 C0 BOND | 26 NOV 25 | C | E | .0001000000_TBRX	SX6E NOV25 C0 BOND | 26 NOV 25 | C | E | .0001000000
EPC SX6E NOV25 BDT	20200831	3.5774340000	L_S_341c0f36-1f2e-11e9-a2d0-b3645e528b7a_EPC SX6E NOV25 BDT_TBRX	TBRX	30200831	O_82aaf22e-62b4-11e9-b160-4ad6f9df0bf5_SX6E NOV25 P100 BOND | 26 NOV 25 | P | E | 279.5300000000_TBRX	SX6E NOV25 P100 BOND | 26 NOV 25 | P | E | 279.5300000000
EPC SX6E NOV25 BDT	20200831	-7.1548680000	L_S_341c0f36-1f2e-11e9-a2d0-b3645e528b7a_EPC SX6E NOV25 BDT_TBRX	TBRX	30200831	O_82ab90a8-62b4-11e9-b160-4ad6f9df0bf5_SX6E NOV25 CCAP | 26 NOV 25 | C | E | 419.2950000000_TBRX	SX6E NOV25 CCAP | 26 NOV 25 | C | E | 419.2950000000
EP3 SD3E NOV24 BDT	20200831	-0.4657860000	L_S_341c9e42-1f2e-11e9-a2d0-b3645e528b7a_EP3 SD3E NOV24 BDT_TBRX	TBRX	30200831	O_75d4316e-62b4-11e9-b160-4ad6f9df0bf5_SD3E NOV24 C100 BOND | 27 NOV 24 | C | E | 2146.9100000000_TBRX	SD3E NOV24 C100 BOND | 27 NOV 24 | C | E | 2146.9100000000
