NomePortafoglio;CodiceISIN;UnderlyingName;ContractName;ExpiryDate;ContractKind;Rhoofposition;StrikePrice;NumberofContracts;Deltaofposition;Gammaofposition;Delta1;Multiplier;ContractCurrency;UpDelta1;DownDelta1;Thetaofposition;MarketPriceofContract;TheoreticalValueofContract;ActVol;ActFR;Vegaofposition;Investedofposition;Valueofpositionmarket;Totalresultofpositionmktth;PLDeskoperatore;Totalresultofpositiontheoretical;Feespaidforposition;ExecutionType;CustomKind;TheoreticalModel;Feedcode;PriceMultiplier;InstrumentTag;PositionCurrency;SettlementStyle;PrimaryMarketforContract;Rho1;CompositeTag;Accruedinterestofposition
VOL_STOCK_IDX_PR;;SX5E;SX5E APR22 PATM;2022-04-28;Put;-44344.44018;3028.21000;1885;-69.20413;0.08036;-22941.16911;1.00000;EUR;0;0;-1112.73068;;261.83875;21.28552;-0.44553;29456.23114;;;;493464.23409;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;815e7aa8-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;459.147;3414f372-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;SX5E;SX5E APR22 C CAP;2022-04-28;Call;10038.38184;4178.92980;1885;18.64330;0.05282;6180.25403;1.00000;EUR;0;0;-142.48027;;26.87141;14.97125;-0.44553;13617.53836;;;;50642.15604;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;815e9ed4-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;-92.998;3414f372-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;SX5E;SX5E APR22 P90;2022-04-28;Put;29917.81248;2725.38900;-1885;47.00815;-0.06027;15583.20127;1.00000;EUR;0;0;953.43278;;173.82278;23.91432;-0.44553;-24823.17605;;;;-327588.36575;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;815efee2-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;-310.626;3414f372-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;SX5E;EP CED SX5E FEB26 C100 BOND;2026-02-18;Call;912397.70557;3270.55000;12676;696.44748;0.39374;230872.33886;1.00000;EUR;0;0;300.47387;;458.44526;18.28877;-0.36123;349683.65208;;;;5811183.76280;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;817e5cf6-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;-8783.77;8a2e6eca-3aa2-11e9-a520-b0115fdb02cb;0
VOL_STOCK_IDX_PR;;SX5E;EP CED SX5E FEB26 C50 3Y;2022-02-16;Call;-12012.90856;1635.27500;-545;-52.12450;-0.00343;-17279.27255;1.00000;EUR;0;0;-165.09080;;1618.01731;37.64193;-0.36123;-1973.80299;;;;-881919.08240;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;817f38b0-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;120.618;8a2e6eca-3aa2-11e9-a520-b0115fdb02cb;0
VOL_STOCK_IDX_PR;;SX5E;EP CED SX5E FEB26 C50 6Y;2025-02-18;Call;-33374.66756;1637.00000;-545;-49.15864;-0.00513;-16296.08911;1.00000;EUR;0;0;-169.48367;;1479.97659;28.70356;-0.36123;-6040.39866;;;;-806678.38868;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;81860906-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;336.011;8a2e6eca-3aa2-11e9-a520-b0115fdb02cb;0
VOL_STOCK_IDX_PR;;SXKE;SXKE SEP20 C100 BOND;2020-09-03;Call;0.00000;377.61000;97431;0.00000;0.00000;0.00000;1.00000;EUR;0;0;0.00000;;0.00000;13.83513;-0.40557;0.00000;;;;0.00000;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;822488e2-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;0;3431f198-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;SXKE;SXKE SEP20 CCAP;2020-09-03;Call;0.00000;528.65400;97431;0.00000;0.00000;0.00000;1.00000;EUR;0;0;0.00000;;0.00000;13.83513;-0.40557;0.00000;;;;0.00000;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;82253dfa-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;0;3431f198-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;DJGT;DJGT SEP20 C0 BOND;2020-09-03;Call;-0.06635;0.00010;-5388;-5388.27240;0.00000;-22656.06896;1.00000;USD;0;0;-36.41793;;420.41555;51.85000;0.23049;0.00000;;;;-2265313.51454;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;822ad35a-62b4-11e9-b160-4ad6f9df0bf5;USD;Cash;XXXX;0.000663541;341e7064-1f2e-11e9-a2d0-b3645e528b7a;0
VOL_STOCK_IDX_PR;;SXDP;EP3 SXDP SEPT20 BDT CALL 100 BOND;2020-09-23;Call;1137.22718;740.81000;2447;48.76439;0.00922;21548.73918;1.00000;EUR;0;0;-23.99946;;142.86983;25.14499;-0.39722;63.65428;;;;349648.42591;;;E;;EUROPEAN_ESCROWED_DIVIDEND;Not Available;1.00000;822f9e1c-62b4-11e9-b160-4ad6f9df0bf5;EUR;Cash;XXXX;-11.3752;34124136-1f2e-11e9-a2d0-b3645e528b7a;0
