Bof_20200828
CURRENCY	DELIVERY_ENDDATE	DELIVERY_STARTDATE	DESCRIPTION	EXPIRY	EXPIRY_LABEL	F_CASH_DELIVERY	F_LISTED	INSTRUMENTID_FE	ISIN	LOTSIZE	REF_DATE	SEC_CATEGORY	SEC_GROUP	SEC_TYPE	UNDERLYINGID	DIV_FUTURE_TYPE	F_DIV_FUTURE	DIVIDENDID_FE	TBRICKS_INSTRUMENT_ID	TBRICKS_UNDERLYING_ID	TBRICKS_DIVIDEND_ID
EUR			FSTS 202009	2020-09-18	SEP 20	C		FSTS 202009 | SEP 20	DE000C4SA7Z7	50	2020-08-28	Financial Futures	Equities	Futures	STXE 600 BSRS PR		N	STXE 600 BSRS PR	499a72e2-254c-11ea-af50-2dba816f6810	7d18609a-5151-11e9-b8d0-ec23cf8de3db	7d18609a-5151-11e9-b8d0-ec23cf8de3db
EUR			FESX 202009	2020-09-18	SEP 20	C		FESX 202009 | SEP 20	DE000C2Q0WP2	10	2020-08-28	Financial Futures	Equities	Futures	FESX 202009 | SEP 20		N	ESTX 50 PR	f67d7c3e-1f30-11e9-a2d0-b3645e528b7a	f67d7c3e-1f30-11e9-a2d0-b3645e528b7a	7d4bd0ec-5151-11e9-b8d0-ec23cf8de3db
EUR			FGDV 202009	2020-09-21	SEP 20	C		FGDV 202009 | SEP 20	DE000C40CQE1	10	2020-08-28	Financial Futures	Equities	Futures	STXG18SD100		N	STXG18SD100	981518ea-2615-11ea-8360-2a448c700fd7	7d176a5a-5151-11e9-b8d0-ec23cf8de3db	7d176a5a-5151-11e9-b8d0-ec23cf8de3db
EUR			FSTE 202009	2020-09-18	SEP 20	C		FSTE 202009 | SEP 20	DE000C4SA7P8	50	2020-08-28	Financial Futures	Equities	Futures	STXE 600 O&GP		N	STXE 600 O&GP	499a038e-254c-11ea-af50-2dba816f6810	7d17fcae-5151-11e9-b8d0-ec23cf8de3db	7d17fcae-5151-11e9-b8d0-ec23cf8de3db
USD			NAS EMIN SEP0	2020-09-18	SEP 20	X		NAS EMIN SEP0 | SEP 20		20	2020-08-28	Financial Futures	Equities	Futures	NAS EMIN SEP0 | SEP 20		N	NASDAQ 100	a8dcfd50-dbbf-11e9-9740-c68cbf4148f8	a8dcfd50-dbbf-11e9-9740-c68cbf4148f8	7d11c492-5151-11e9-b8d0-ec23cf8de3db
USD			EMINI S&P SEP0	2020-09-18	SEP 20	X		EMINI S&P SEP0 | SEP 20		50	2020-08-28	Financial Futures	Equities	Futures	EMINI S&P SEP0 | SEP 20		N	EMINI S&P SEP0 | SEP 20	93b981ba-9645-11e9-a180-91725b79faed	93b981ba-9645-11e9-a180-91725b79faed	93b981ba-9645-11e9-a180-91725b79faed
GBP			FTSE INDEX SEP0	2020-09-18	SEP 20	C		FTSE INDEX SEP0 | SEP 20	GB00HBBG0L85	10	2020-08-28	Financial Futures	Equities	Futures	FTSE 100 INDEX		N	FTSE 100 INDEX	d949da0e-174b-11ea-acd0-0d9984f65d13	7d16f3ea-5151-11e9-b8d0-ec23cf8de3db	7d16f3ea-5151-11e9-b8d0-ec23cf8de3db
HKD			HSIU0	2020-09-29	SEP 20	P		HSIU0 | SEP 20		50	2020-08-28	Financial Futures	Equities	Futures	HANG SENG INDEX		N	HANG SENG INDEX	a2cbfa5c-e7b1-11ea-bb45-245e0d1c06b7	7d119b70-5151-11e9-b8d0-ec23cf8de3db	7d119b70-5151-11e9-b8d0-ec23cf8de3db
USD			VIX FUT SEP0	2020-09-16	SEP 20	P		VIX FUT SEP0 | SEP 20		1000	2020-08-28	Financial Futures	Equities	Futures	VIX FUT SEP0 | SEP 20		N	VIX FUT SEP0 | SEP 20	23f49280-1d6c-11ea-aaf0-413cb15b8cca	23f49280-1d6c-11ea-aaf0-413cb15b8cca	23f49280-1d6c-11ea-aaf0-413cb15b8cca
HKD			HSIQ0	2020-08-28	AUG 20	P		HSIQ0 | AUG 20		50	2020-08-28	Financial Futures	Equities	Futures	HANG SENG INDEX		N	HANG SENG INDEX	1d2c1cf4-d8c7-11ea-8c87-ae529049f1f1	7d119b70-5151-11e9-b8d0-ec23cf8de3db	7d119b70-5151-11e9-b8d0-ec23cf8de3db
