Bof_20200828
ANALYTICDATE	CURRENCY	POSITIONID_FE	DELTA	GAMMA	LEG	PORTFOLIOID_FE	REF_DATE	RHO	THETA	VEGA	RHO-1	TBRICKS_INSTRUMENT_ID
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | 3_SAPG G 132.44 21 - OTC EPSILON | 02 JUL 21 | C | E | 132.4400000000 | None | OTC Derivatives	-20580.50297565855	-327.44612139579834		EQSSVOLOTC	2020-08-28	-13902.272736379919	806.2204212444148	-3523.9235176680095	137.94592198684	303fc76e-bc4d-11ea-8ab0-5ac0d4f352e5
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | 3_SAPG G163.96  21 - OTC EPSILON | 02 JUL 21 | C | E | 163.9600000000 | None | OTC Derivatives	9295.766904635197	336.58796070229414		EQSSVOLOTC	2020-08-28	7016.525501209602	-613.5788670793537	2658.6993871917407	-68.72903899022255	3041f408-bc4d-11ea-8ab0-5ac0d4f352e5
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENI L13 Dec22 - OTC - STRUTT | 16 DEC 22 | C | A | 13.0000000000 | None | OTC Derivatives	3364.0385718087905	2822.6296002959307		EQSSVOLOTC	2020-08-28	6462.899362993223	-170.5946348335239	2066.8984112720555	-59.32179410862368	34218c70-4db0-11ea-8480-8ec09ba89a42
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | TOT X40 Dec22 - OTC - EQ_STRUTT | 16 DEC 22 | P | A | 40.0000000000 | XOFF | OTC Derivatives	-45129.46469758625	1762.6203102129007		EQSSVOLOTC	2020-08-28	-134326.13110560458	-501.1704656618931	5195.12451570403	1450.3075327640502	34fe62b4-85a9-11e9-bc50-d8e42f759887
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | FRE G59.32 21 - OTC EPSILON | 02 JUL 21 | C | E | 59.3200000000 | None | OTC Derivatives	1103.754635841607	254.8408020858457		EQSSVOLOTC	2020-08-28	871.0889249614881	2025.7491316193045	550.1141842561965	-8.387527281938263	3a6f01be-bd24-11ea-b0d0-9b6fd5f0ec96
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | FRE G47.91 21 - OTC EPSILON | 02 JUL 21 | C | E | 47.9100000000 | None | OTC Derivatives	-6418.162976919812	-762.1514664622067		EQSSVOLOTC	2020-08-28	-4666.665453014941	-11589.380735302013	-2235.2114446728815	45.80251434283835	3a710bb2-bd24-11ea-b0d0-9b6fd5f0ec96
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENI L12 Dec23 - OTC - STRUTT | 15 DEC 23 | C | E | 12.0000000000 | XXXX | OTC Derivatives	3341.9994302627683	2051.2337624858337		EQSSVOLOTC	2020-08-28	9351.081765220912	-114.04302622278206	1978.6463250984516	-86.90487347842723	3e2771f8-d966-11e9-b2f0-5dd386df89f3
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | ENI X12 Dec23 - OTC - STRUTT | 15 DEC 23 | P | E | 12.0000000000 | XXXX | OTC Derivatives	-26517.375569737233	2051.2337624858337		EQSSVOLOTC	2020-08-28	-145677.4999188164	-163.26238029296115	1978.6463250984516	1488.9696886728477	3e279e26-d966-11e9-b2f0-5dd386df89f3
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | PST L8.2 - OTC CARIFIRENZE | 18 DEC 20 | C | E | 8.2000000000 | None | OTC Derivatives	2952.610462301739	2540.8837043155313		EQSSVOLOTC	2020-08-28	824.3909712963848	-276.5765709986656	445.4518986643886	-8.162078658902061	3fc8bbb2-a0f7-11ea-bed0-4cac5a82408b
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENI 12.5L Dec22 - OTC - STRUTT | 16 DEC 22 | C | E | 12.5000000000 | XXXX | OTC Derivatives	3364.0718236378057	2617.2616816161353		EQSSVOLOTC	2020-08-28	6892.233418716476	-166.01969625101853	1992.4933213538916	-64.44681753722259	4537faaa-e59e-11e9-8320-5149c5b639d8
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | ENI 12.5X Dec22 -OTC - STRUTT | 16 DEC 22 | P | E | 12.5000000000 | XXXX | OTC Derivatives	-44410.92817636219	2617.2616816161353		EQSSVOLOTC	2020-08-28	-170931.98053921998	-241.19412963301556	1992.4933213538916	1734.3395210591693	45381a4e-e59e-11e9-8320-5149c5b639d8
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | SRS L0.7 - OTC - BCA ALBERTINI | 18 DEC 20 | C | A | .7000000000 | None | OTC Derivatives	-942.8914368760695	-10789.913405856425		EQSSVOLOTC	2020-08-28	-254.13009680466462	151.88130692355173	-244.09252133048875	2.455667851756355	53dc57f8-daf4-11ea-8be0-48a444c228a2
2020-08-28	CHF	EQSSVOLOTC | CHF | Equities | Equities | Common/Ordinary shares | ZURICH INSURANCE | XSWX | Reuters Elektron	-101985.00000000001	0		EQSSVOLOTC	2020-08-28	0	0		0	5aff4e06-1f2e-11e9-a2d0-b3645e528b7a
2020-08-28	CHF	EQSSVOLOTC | CHF | Equities | Equities | Common/Ordinary shares | NESTLE SA | XSWX | Reuters Elektron	-43456	0		EQSSVOLOTC	2020-08-28	0	0		0	5b1fceb0-1f2e-11e9-a2d0-b3645e528b7a
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | G I15 - OTC CR FIRENZE | 18 SEP 20 | C | E | 15.0000000000 | None | OTC Derivatives	192.3239246102634	650.5472143129131		EQSSVOLOTC	2020-08-28	10.988963187158474	-85.91360203179244	27.62364890754221	-0.10847122347001914	5b457422-a712-11ea-abb0-840f70860522
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | ENI X13 Dec22 - OTC - STRUTT | 16 DEC 22 | P | A | 13.0000000000 | None | OTC Derivatives	-56471.94312330476	2699.965342983649		EQSSVOLOTC	2020-08-28	-210201.8919179085	-263.9224390026396	2003.203063927206	2273.90583857745	69a2871e-4db0-11ea-8480-8ec09ba89a42
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | ACCOR | XPAR | Euronext Optiq	-6073.15	0		EQSSVOLOTC	2020-08-28	0	0		0	6e458e92-1f2b-11e9-a2d0-b3645e528b7a
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | ROYAL DUTCH SHELLA | XAMS | Euronext Optiq	8736.09	0		EQSSVOLOTC	2020-08-28	0	0		0	6e47d652-1f2b-11e9-a2d0-b3645e528b7a
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Equities | Common/Ordinary shares | VALEO | XPAR | Euronext Optiq	11055.3	0		EQSSVOLOTC	2020-08-28	0	0		0	6e4bc2b2-1f2b-11e9-a2d0-b3645e528b7a
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | 1_LVMH H391.965 - OTC EPSILON | 05 AUG 21 | C | E | 391.9650000000 | None | OTC Derivatives	-11807.714886004434	-77.84096467801056		EQSSVOLOTC	2020-08-28	-9042.657446108762	462.8666475623635	-2281.170668298041	89.47412763452407	6ef9d88e-d6ef-11ea-9a70-8c74e2c4ffa0
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | F L12.15 - OTC CARIMONTE | 18 DEC 20 | C | E | 12.1500000000 | None | OTC Derivatives	1108.7924300896252	988.1520879141796		EQSSVOLOTC	2020-08-28	313.46363481936646	-230.71022391770725	371.4169638576793	-3.0950054819234296	7096b29a-ccd9-11ea-a7b0-52a121dc1b87
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | BAY L70 D22 - OTC - STRUTT | 16 DEC 22 | C | A | 70.0000000000 | XOFF | OTC Derivatives	22446.89820525304	1427.945586808865		EQSSVOLOTC	2020-08-28	38081.617303201165	-817.8203969539943	9745.760492043899	-359.62371141773366	72699d4e-9c6a-11e9-aa50-cb99c4fdccb3
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | BAY X70 D22 - OTC - STRUTT | 16 DEC 22 | P | A | 70.0000000000 | XOFF | OTC Derivatives	-40445.89198241806	912.4382590627548		EQSSVOLOTC	2020-08-28	-122911.51303736676	-606.36941272314	6450.949917855553	1401.0934841792277	7269af64-9c6a-11e9-aa50-cb99c4fdccb3
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | UCG I10.50 - OTC CRMODENA FONDACO | 18 SEP 20 | C | E | 10.5000000000 | None | OTC Derivatives	1174.1904897106456	2897.7118172319792		EQSSVOLOTC	2020-08-28	65.20134724508075	-940.9758871944535	297.12064462905937	-0.6480937421865507	74893c84-b53b-11ea-87b0-5d49e26b18bc
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | TITL L0.475 - OTC CARIMONTE | 18 DEC 20 | C | E | .4750000000 | None | OTC Derivatives	1988.6252009215818	29623.74526518951		EQSSVOLOTC	2020-08-28	545.1180023720581	-337.4576677975527	541.9451221826258	-5.402813561650177	76d29a66-e90d-11ea-a590-49499a438f10
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | 1_OREP H293.5275 - OTC EPSILON | 05 AUG 21 | C | E | 293.5275000000 | None | OTC Derivatives	-8790.808689544883	-117.84095163520956		EQSSVOLOTC	2020-08-28	-7107.756804265282	382.4243672524509	-1881.9999487188404	69.93893433829486	7846afce-d7c7-11ea-ad00-165624ea06d9
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | G I15 - OTC CRFIRENZE | 18 SEP 20 | C | E | 15.0000000000 | None | OTC Derivatives	192.3239246102634	650.5472143129131		EQSSVOLOTC	2020-08-28	10.988963187158474	-85.91360203179244	27.62364890754221	-0.10847122347001914	7c750586-a578-11ea-8f90-3e0e1d49d75a
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | 1_LVMH H485.29 - OTC EPSILON | 05 AUG 21 | C | E | 485.2900000000 | None | OTC Derivatives	4592.954457452511	67.14177389455708		EQSSVOLOTC	2020-08-28	3910.145859874067	-298.0735227683197	1456.674529186017	-38.07971134823315	82f055de-d6ef-11ea-9a70-8c74e2c4ffa0
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | 1_SASY G96.93  - OTC EPSILON | 02 JUL 21 | C | E | 96.9300000000 | None | OTC Derivatives	-5950.871232562684	-519.1301918579088		EQSSVOLOTC	2020-08-28	-4700.054251528907	335.37652212063966	-1480.007047757177	45.58118857241142	8538ac9e-bf73-11ea-bce0-8115db2a4329
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENI L12 Dec22 - OTC - STRUTT | 16 DEC 22 | C | A | 12.0000000000 | None | OTC Derivatives	-2867.1594694796245	-2085.2247144523526		EQSSVOLOTC	2020-08-28	-5296.7115758055	133.7455271894737	-1583.8712967430542	48.83257027970926	8fbb3e0a-4680-11ea-8300-9e19aa31e6f4
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | ENEL K7.56 - OTC - CARIMONTE | 20 NOV 20 | C | E | 7.5600000000 | None | OTC Derivatives	3405.1892368264807	2390.7523562063216		EQSSVOLOTC	2020-08-28	706.5677049251207	-263.7952158602985	319.08760595852095	-7.024991458948193	94dc6a6a-a0f0-11ea-bed0-4cac5a82408b
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | BAMI K1.565 OTC CARIMONTE | 20 NOV 20 | C | E | 1.5650000000 | None | OTC Derivatives	725.1503878117172	2787.5508681668425		EQSSVOLOTC	2020-08-28	148.47060666097647	-117.71738723883374	141.59353989012956	-1.4756867923138017	9685fbba-a712-11ea-abb0-840f70860522
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | PIRC I5.5217 Sep22 - OTC - ISP BtB | 26 SEP 22 | C | E | 5.5217000000 | XXXX | OTC Derivatives	-42644.48827295963	-51136.562306662374		EQSSVOLOTC	2020-08-28	-74450.18876209288	2307.446683218781	-24849.756102115196	713.6042904467528	9df61c74-dede-11e9-b210-46dcbf42c172
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | FCA L11 - OTC - STRUTT | 18 DEC 20 | C | A | 11.0000000000 | None | OTC Derivatives	-18185.255915063877	-11612.849965822412		EQSSVOLOTC	2020-08-28	-4894.517199114989	2951.6848091444976	-4740.839386307704	46.75866121345296	ae49f4e6-80bf-11ea-a510-0026eccf1891
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | VO3 X120 Dec22 - OTC - STRUTT | 15 DEC 23 | P | A | 120.0000000000 | None | OTC Derivatives	-24651.73967920354	364.8036661201328		EQSSVOLOTC	2020-08-28	-104229.73811711422	-816.3685572762702	13132.89972414111	1156.8779581988765	afb434b2-4d99-11ea-8480-8ec09ba89a42
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | 3_BAYG H60.3645 - OTC EPSILON | 05 AUG 21 | C | E | 60.3645000000 | None | OTC Derivatives	-7185.154604826296	-484.35485675611466		EQSSVOLOTC	2020-08-28	-5714.5520381337865	409.37489049231317	-1977.9916294242257	56.23086255718937	b40553cc-d6ef-11ea-9a70-8c74e2c4ffa0
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | ENEL X4.8 Dec22 - OTC - STRUTT | 16 DEC 22 | P | A | 4.8000000000 | XOFF | OTC Derivatives	-16090.435387846845	8185.280176929519		EQSSVOLOTC	2020-08-28	-41148.926257981126	-894.4889879435315	10319.374017965787	446.6044362416988	b7eff2f2-7710-11e9-9400-98972329be46
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | ENEL U5 - OTC STRUCT | 18 SEP 20 | P | A | 5.0000000000 | XXXX | OTC Derivatives	1351.9804358998194	-2558.0249924090385		EQSSVOLOTC	2020-08-28	79.0495132440873	2058.5611542260613	-666.1367481719526	-0.8017195644530878	b7f99b0e-7fcf-11ea-a910-a87b7f94427f
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | ENI X12 Dec22 - OTC - STRUTT | 16 DEC 22 | P | A | 12.0000000000 | None | OTC Derivatives	27114.970194161364	-1973.9145890347304		EQSSVOLOTC	2020-08-28	95203.5529328521	173.19836717089032	-1536.6502482661024	-1029.0169636294477	b9127b7e-4680-11ea-8300-9e19aa31e6f4
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Call | 25643982 | 17 DEC 21 | C | E | 4.6000000000 | XXXX | OTC Derivatives	0	0		EQSSVOLOTC	2020-08-28	0	0	0	0	b941c7e8-7710-11e9-9400-98972329be46
2020-08-28	EUR	EQSSVOLOTC | EUR | Equities | Options | Put | 25643983 | 17 DEC 21 | P | E | 4.6000000000 | XXXX | OTC Derivatives	0	0		EQSSVOLOTC	2020-08-28	0	0	0	0	b941db8e-7710-11e9-9400-98972329be46
