Bof_20200828
ASK	ATM_STRIKE	ATM_VOLATILITY	BID	CALLPUTBOTH	CURRENCY	CURVE_REF_DATE	CURVE_TYPE	CURVE_TYPE_DETAIL	MATURITY	MATURITY_LABEL	MID	PILLAR	REF_DATE	REQUEST_TYPE	VOLATILITY_GROUP	VOLATILITY_TYPE	F_CALLPUT	INTERP_MODE	POINTS	STRIKE_INTERVAL	UNDERLYING_MKT	VOLATILITY_REF_VALUE	SLOPE_REF	WING_PUT_CURVATURE	WING_CALL_CURVATURE	WING_CUT_OFF_DOWN	WING_CUT_OFF_UP	VCR	SCR	SSR	DOWN.SM	UP.SM	CURVEID	CURVE_NAME	FORWARD_PRICE	SWIM_REF_PRICE	TBRICKS_UNDERLYING_ID	TBRICKS_DIVIDEND_ID
		29.23438125476892		B		2020-08-28	Volatility		2020-09-18	21		2020-09-18	2020-08-28	Standard		Wing	B					0.28969072164948456	-0.1292391014879536	0.043846154	0.055414692	-0.75	0.75	0	0	0	0.5	0.5	04bce274-99bd-11e9-9fd0-4534fb7b2373	5_GAS_5_GAS risk fixed expiry	16.021725837252607	16.35172173934372	343e75d0-1f2e-11e9-a2d0-b3645e528b7a	343e75d0-1f2e-11e9-a2d0-b3645e528b7a
		28.90386852838765		B		2020-08-28	Volatility		2020-12-18	112		2020-12-18	2020-08-28	Standard		Wing	B					0.286810551558753	-0.09532625716188378	0.027692308	0.035	-1	1	0	0	0	0.5	0.5	04bce274-99bd-11e9-9fd0-4534fb7b2373	5_GAS_5_GAS risk fixed expiry	15.62565831699994	15.992686172832917	343e75d0-1f2e-11e9-a2d0-b3645e528b7a	343e75d0-1f2e-11e9-a2d0-b3645e528b7a
		28.475105870674934		B		2020-08-28	Volatility		2021-03-19	203		2021-03-19	2020-08-28	Standard		Wing	B					0.2827338129496403	-0.08273195876288658	0.013846154000000001	0.030000000000000006	-1	1	0	0	0	0.5	0.5	04bce274-99bd-11e9-9fd0-4534fb7b2373	5_GAS_5_GAS risk fixed expiry	15.593423951326004	15.976733298063351	343e75d0-1f2e-11e9-a2d0-b3645e528b7a	343e75d0-1f2e-11e9-a2d0-b3645e528b7a
		27.71346479775515		B		2020-08-28	Volatility		2021-06-18	294		2021-06-18	2020-08-28	Standard		Wing	B					0.2752577319587629	-0.07104810996563574	0	0.025	-1	1	0	0	0	0.5	0.5	04bce274-99bd-11e9-9fd0-4534fb7b2373	5_GAS_5_GAS risk fixed expiry	15.08040674064037	15.484102781854554	343e75d0-1f2e-11e9-a2d0-b3645e528b7a	343e75d0-1f2e-11e9-a2d0-b3645e528b7a
		26.353777633630333		B		2020-08-28	Volatility		2021-12-17	476		2021-12-17	2020-08-28	Standard		Wing	B					0.2618556701030928	-0.05558419243986254	0	0.02	-1	1	0	0	0	0.5	0.5	04bce274-99bd-11e9-9fd0-4534fb7b2373	5_GAS_5_GAS risk fixed expiry	14.407883335820035	14.850563694108246	343e75d0-1f2e-11e9-a2d0-b3645e528b7a	343e75d0-1f2e-11e9-a2d0-b3645e528b7a
				B		2020-08-28	Volatility		2022-12-16	840		2022-12-16	2020-08-28	Standard		Wing	B					0.23517350157728706	-0.03943298969072165	0	0.015	-1	1	0	0	0	0.5	0.5	04bce274-99bd-11e9-9fd0-4534fb7b2373	5_GAS_5_GAS risk fixed expiry	13.214741171372092	13.73731509622344	343e75d0-1f2e-11e9-a2d0-b3645e528b7a	343e75d0-1f2e-11e9-a2d0-b3645e528b7a
		22.39326970420146		B		2020-08-28	Volatility		2023-06-16	1022		2023-06-16	2020-08-28	Standard		Wing	B					0.22239747634069404	-0.035652920962199325	0	0.012861244019138756	-1	1	0	0	0	0.5	0.5	04bce274-99bd-11e9-9fd0-4534fb7b2373	5_GAS_5_GAS risk fixed expiry	12.690739342258775	13.249140839225385	343e75d0-1f2e-11e9-a2d0-b3645e528b7a	343e75d0-1f2e-11e9-a2d0-b3645e528b7a
		20.880614795529628		B		2020-08-28	Volatility		2023-12-15	1204		2023-12-15	2020-08-28	Standard		Wing	B					0.20725552050473187	-0.03256013745704467	0	0.011483253588516746	-1	1	0	0	0	0.5	0.5	04bce274-99bd-11e9-9fd0-4534fb7b2373	5_GAS_5_GAS risk fixed expiry	12.062428145335	12.650781626656718	343e75d0-1f2e-11e9-a2d0-b3645e528b7a	343e75d0-1f2e-11e9-a2d0-b3645e528b7a
		20.389618435156667		B		2020-08-28	Volatility		2024-03-13	1293		2024-03-13	2020-08-28	Standard		Wing	B					0.20299684542586754	-0.031282051	0	0.010717703349282298	-1	1	0	0	0	0.5	0.5	04bce274-99bd-11e9-9fd0-4534fb7b2373	5_GAS_5_GAS risk fixed expiry	12.282931464972872	12.641182951005817	343e75d0-1f2e-11e9-a2d0-b3645e528b7a	343e75d0-1f2e-11e9-a2d0-b3645e528b7a
		19.92042778313777		B		2020-08-28	Volatility		2024-12-20	1575		2024-12-20	2020-08-28	Standard		Wing	B					0.1975	-0.029641026	0	0.009033492822966506	-1	1	0	0	0	0.5	0.5	04bce274-99bd-11e9-9fd0-4534fb7b2373	5_GAS_5_GAS risk fixed expiry	10.928025828300969	11.574772300365371	343e75d0-1f2e-11e9-a2d0-b3645e528b7a	343e75d0-1f2e-11e9-a2d0-b3645e528b7a
